# CSP Optical + NIR data for SN2005W
# Timestamp:  2011-10-25 15:53:07
# zcmb = 0.007950	  RA = 01:50:45.77	 DEC = +21:45:35.28
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53404.02491	15.617	0.014	15.020	0.006	14.891	0.006	14.920	0.006	14.763	0.005	14.977	0.006
53406.03333	99.900	99.900	14.741	0.006	14.595	0.006	99.900	99.900	14.487	0.006	14.743	0.006
53407.02519	99.900	99.900	99.900	99.900	99.900	99.900	14.692	0.021	99.900	99.900	99.900	99.900
53408.02561	15.126	0.015	14.539	0.006	14.404	0.006	14.433	0.009	14.328	0.008	14.619	0.013
53409.02300	15.079	0.019	14.484	0.006	14.345	0.006	14.382	0.008	14.261	0.006	14.633	0.006
53410.02387	15.085	0.016	14.446	0.006	14.299	0.007	14.302	0.012	14.213	0.011	14.616	0.009
53411.02221	15.077	0.019	14.419	0.006	14.264	0.006	14.315	0.007	14.204	0.007	14.649	0.006
53412.02267	15.104	0.019	14.445	0.007	14.263	0.006	14.334	0.008	14.187	0.006	14.720	0.008
53413.02274	15.083	0.042	14.445	0.016	14.227	0.011	14.312	0.009	14.169	0.009	14.732	0.011
53414.01650	15.223	0.028	14.461	0.011	14.276	0.011	14.317	0.008	14.150	0.007	14.771	0.010
53415.01722	15.325	0.040	14.502	0.011	14.260	0.009	14.367	0.008	14.194	0.006	14.788	0.011
53416.01309	15.464	0.043	14.529	0.013	14.263	0.011	14.406	0.011	14.194	0.004	14.809	0.012
53417.01574	15.455	0.030	14.627	0.014	14.270	0.010	14.457	0.011	14.242	0.008	14.874	0.012
53418.01540	99.900	99.900	14.688	0.021	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53419.00980	15.731	0.044	14.775	0.028	14.344	0.016	14.518	0.013	14.316	0.011	14.956	0.012
53420.00362	99.900	99.900	14.847	0.021	14.347	0.013	14.564	0.027	14.435	0.035	14.963	0.045
53421.01097	99.900	99.900	14.977	0.019	14.451	0.018	14.683	0.013	14.436	0.043	99.900	99.900
53422.00356	15.951	0.087	99.900	99.900	14.520	0.023	14.757	0.033	14.581	0.018	15.167	0.041
53425.00709	16.384	0.118	15.391	0.040	14.684	0.017	14.987	0.024	14.746	0.014	15.326	0.017
53425.99980	16.472	0.116	15.485	0.032	14.781	0.016	15.082	0.032	14.740	0.019	15.350	0.029
53427.00238	16.651	0.130	15.666	0.034	14.845	0.014	15.145	0.026	14.849	0.014	15.309	0.024
53429.00566	99.900	99.900	15.824	0.034	14.943	0.013	15.352	0.016	14.829	0.009	15.257	0.014
