# CSP Optical + NIR data for SN2004ey
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.014627	  RA = 21:49:7.92	 DEC = +00:26:39.20
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53295.01776	16.518	0.009	15.974	0.006	16.005	0.007	15.922	0.006	15.953	0.006	16.185	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53298.16782	99.900	99.900	15.532	0.005	15.539	0.007	15.474	0.006	15.506	0.006	15.784	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53299.00874	15.834	0.009	15.435	0.006	15.459	0.008	15.381	0.006	15.460	0.009	15.746	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53300.03587	15.770	0.010	15.362	0.004	15.379	0.007	15.306	0.006	15.370	0.009	15.702	0.009	99.900	99.900	15.520	0.025	99.900	99.900	99.900	99.900
53301.02776	15.731	0.011	15.308	0.005	15.317	0.006	15.251	0.005	15.303	0.006	15.706	0.006	15.679	0.006	15.496	0.006	15.744	0.013	15.535	0.012
53302.04450	15.707	0.011	15.268	0.005	15.262	0.007	15.207	0.005	15.260	0.006	15.724	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53303.03933	15.702	0.010	15.242	0.006	15.235	0.008	15.180	0.006	15.239	0.008	15.753	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53304.05301	15.730	0.011	15.242	0.006	15.217	0.007	15.176	0.005	15.196	0.008	15.760	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53305.03635	15.778	0.011	15.256	0.006	15.211	0.008	15.179	0.006	15.193	0.007	15.796	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53306.09822	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.133	0.009	15.787	0.007	16.032	0.021	15.675	0.035
53307.07442	15.949	0.011	15.323	0.006	15.240	0.006	15.230	0.005	15.207	0.005	15.872	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53308.04465	16.016	0.010	15.355	0.004	15.253	0.006	15.254	0.005	15.228	0.006	15.889	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53309.04135	16.100	0.009	15.410	0.006	15.282	0.007	15.281	0.006	15.251	0.008	15.933	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53310.04179	16.189	0.009	15.449	0.004	15.306	0.006	15.324	0.006	15.298	0.006	15.978	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53311.00647	16.281	0.009	15.509	0.005	15.340	0.006	15.372	0.006	15.346	0.006	16.042	0.007	16.453	0.018	16.272	0.009	16.165	0.010	15.729	0.013
53312.02749	16.382	0.010	99.900	99.900	99.900	99.900	15.428	0.006	15.418	0.009	16.105	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53314.05210	16.601	0.009	15.729	0.004	15.486	0.004	15.547	0.004	15.549	0.006	16.301	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53315.04524	16.710	0.010	15.818	0.006	15.546	0.008	15.614	0.006	15.625	0.006	16.386	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53320.02689	17.391	0.011	99.900	99.900	99.900	99.900	16.038	0.004	15.911	0.006	16.581	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53327.05557	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.026	0.011	17.090	0.021	15.969	0.010	15.744	0.017
53328.03091	18.380	0.022	17.202	0.009	16.277	0.009	16.763	0.007	16.035	0.006	16.406	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53330.07369	18.639	0.040	17.412	0.013	16.415	0.010	16.969	0.009	16.095	0.006	16.357	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53331.01535	18.705	0.031	17.494	0.011	16.477	0.009	17.056	0.009	16.120	0.006	16.331	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53335.02235	99.900	99.900	17.788	0.010	16.723	0.010	99.900	99.900	16.295	0.005	16.357	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53337.01590	19.163	0.032	17.916	0.014	16.821	0.010	17.506	0.016	16.408	0.007	16.432	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53338.03784	99.900	99.900	17.995	0.010	16.888	0.007	99.900	99.900	16.464	0.008	16.476	0.008	15.529	0.010	16.645	0.010	15.986	0.022	15.982	0.031
53339.03772	99.900	99.900	18.058	0.011	16.965	0.009	99.900	99.900	16.533	0.007	16.576	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53340.04005	19.221	0.024	18.086	0.011	17.010	0.010	17.702	0.009	16.605	0.008	16.655	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53342.01751	99.900	99.900	18.222	0.020	17.095	0.027	99.900	99.900	16.729	0.007	16.810	0.009	99.900	99.900	16.992	0.013	16.261	0.015	16.234	0.033
