# CSP Optical + NIR data for SN2005el
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.014885	  RA = 05:11:48.72	 DEC = +05:11:39.41
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53639.35715	16.156	0.006	15.869	0.006	15.822	0.006	15.771	0.009	15.790	0.007	15.965	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53640.32772	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.622	0.006	15.604	0.019	15.687	0.015	99.900	99.900
53641.35794	15.837	0.006	15.573	0.006	15.518	0.004	15.454	0.004	15.496	0.004	15.718	0.004	99.900	99.900	15.492	0.007	15.616	0.009	15.572	0.015
53643.31803	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.526	0.012	15.494	0.010	15.683	0.018	99.900	99.900
53644.34709	15.677	0.007	15.322	0.006	15.277	0.006	15.198	0.009	15.287	0.007	15.678	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53648.31276	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.015	0.015	15.842	0.031	15.933	0.058	99.900	99.900
53650.39583	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.903	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53653.30134	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.494	0.011	16.662	0.006	16.268	0.008	15.936	0.011
53655.32469	16.579	0.008	15.779	0.006	15.533	0.006	15.575	0.005	15.660	0.007	16.426	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53656.36178	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.572	0.012	17.361	0.062	99.900	99.900	99.900	99.900
53657.28806	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.568	0.012	17.297	0.034	16.366	0.030	99.900	99.900
53659.27732	17.159	0.014	16.256	0.007	15.836	0.005	15.943	0.004	15.954	0.005	16.645	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53660.35284	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.453	0.011	17.337	0.040	16.286	0.056	99.900	99.900
53663.29794	17.863	0.021	16.782	0.005	16.098	0.005	16.368	0.006	16.043	0.005	16.520	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53664.35190	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.138	0.017	17.154	0.033	99.900	99.900	99.900	99.900
53665.32207	18.185	0.018	17.043	0.009	16.224	0.006	16.602	0.006	16.061	0.006	16.438	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53666.28081	18.298	0.017	17.148	0.009	16.283	0.006	16.718	0.006	16.084	0.006	16.393	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53668.32441	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.758	0.015	16.806	0.031	15.896	0.022	99.900	99.900
53669.31177	18.639	0.018	17.521	0.009	16.528	0.004	17.074	0.004	16.196	0.005	16.327	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
