# CSP Optical + NIR data for SN2005be
# Timestamp:  2011-10-25 15:53:07
# zcmb = 0.035600	  RA = 14:59:32.64	 DEC = +16:40:11.64
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53467.36728	18.298	0.021	17.452	0.017	17.177	0.017	17.243	0.017	17.175	0.017	17.870	0.017
53468.33561	18.414	0.018	17.541	0.017	17.242	0.017	17.311	0.017	17.255	0.017	17.980	0.017
53472.27353	19.078	0.023	18.042	0.017	17.523	0.017	17.732	0.017	17.532	0.017	18.213	0.017
53473.28836	19.288	0.030	18.194	0.017	17.604	0.017	17.855	0.017	17.565	0.017	18.207	0.017
53475.25522	19.535	0.037	18.487	0.017	17.738	0.017	18.096	0.017	17.629	0.017	18.161	0.017
53476.26057	19.750	0.042	18.628	0.017	17.846	0.017	18.248	0.017	17.639	0.017	18.121	0.017
53477.29380	19.961	0.043	18.791	0.017	17.918	0.017	18.368	0.017	17.669	0.017	18.083	0.017
53481.25057	20.162	0.096	19.224	0.021	18.235	0.017	18.852	0.017	17.833	0.017	17.998	0.017
53483.27782	20.456	0.214	19.480	0.049	18.462	0.026	19.036	0.031	17.993	0.017	18.031	0.017
53484.25873	99.900	99.900	19.503	0.140	18.478	0.048	99.900	99.900	99.900	99.900	99.900	99.900
53489.23401	99.900	99.900	19.855	0.073	18.895	0.034	19.482	0.030	18.490	0.017	18.555	0.017
53490.25303	99.900	99.900	19.987	0.035	18.983	0.017	19.584	0.018	18.534	0.017	18.632	0.017
53491.25813	99.900	99.900	20.030	0.032	19.028	0.017	19.594	0.017	18.580	0.017	18.703	0.019
