# CSP Optical + NIR data for SN2005iq
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.032929	  RA = 23:58:32.40	 DEC = -18:42:33.12
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53682.03732	17.379	0.016	17.117	0.009	17.175	0.009	17.034	0.007	17.194	0.008	17.416	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53683.04882	17.288	0.014	17.015	0.009	17.080	0.011	16.931	0.009	17.103	0.011	17.337	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53684.08633	17.248	0.015	16.935	0.010	17.003	0.010	16.857	0.009	17.011	0.010	17.333	0.014	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53685.07325	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.223	0.021	17.292	0.045	17.358	0.068	99.900	99.900
53686.11447	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.284	0.022	17.279	0.036	17.487	0.078	99.900	99.900
53687.03535	17.309	0.019	16.838	0.010	16.876	0.006	16.733	0.008	16.907	0.012	17.409	0.014	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53688.10110	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.465	0.027	17.389	0.034	17.820	0.082	99.900	99.900
53689.11806	17.434	0.020	16.863	0.011	16.859	0.012	16.758	0.010	16.876	0.011	17.492	0.017	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53690.06398	17.541	0.021	16.903	0.009	16.864	0.010	16.793	0.009	16.896	0.011	17.497	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53692.04676	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.764	0.057	17.964	0.074	17.997	0.155	99.900	99.900
53694.10385	18.028	0.021	17.167	0.009	17.011	0.009	16.985	0.009	17.061	0.010	17.769	0.015	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53695.10682	18.095	0.020	17.250	0.009	17.070	0.009	17.057	0.008	17.136	0.008	17.874	0.015	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
