# CSP Optical + NIR data for SN2007ax
# Timestamp:  2011-10-25 15:53:10
# zcmb = 0.007638	  RA = 08:22:43.20	 DEC = +22:33:16.92
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54184.04175	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.867	0.046	14.543	0.050	15.282	0.042
54185.05157	18.237	0.037	16.630	0.008	16.038	0.006	16.259	0.005	15.922	0.007	16.115	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54190.10517	18.409	0.072	16.584	0.010	15.703	0.006	16.106	0.006	15.471	0.005	15.620	0.006	99.900	99.900	99.900	99.900	99.900	99.900
54191.09662	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.207	0.008	14.599	0.054	15.215	0.065
54194.00887	19.133	0.080	17.183	0.011	15.986	0.006	16.594	0.007	15.583	0.005	15.639	0.008	99.900	99.900	99.900	99.900	99.900	99.900
54196.03169	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.230	0.017	14.713	0.098	15.232	0.133
54197.05105	19.373	0.122	17.697	0.015	16.370	0.008	17.079	0.008	15.881	0.006	15.816	0.008	99.900	99.900	99.900	99.900	99.900	99.900
54205.02132	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.636	0.011	99.900	99.900	99.900	99.900
54206.98559	19.954	0.105	18.588	0.071	17.298	0.016	18.020	0.028	16.878	0.012	16.771	0.016	99.900	99.900	99.900	99.900	99.900	99.900
54212.96429	19.799	0.149	18.707	0.026	17.596	0.016	18.180	0.022	17.251	0.011	17.073	0.012	99.900	99.900	99.900	99.900	99.900	99.900
54218.00288	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.332	0.019	99.900	99.900	99.900	99.900	99.900	99.900
54218.96464	20.205	0.204	18.883	0.039	17.820	0.019	18.422	0.021	17.527	0.013	99.900	99.900	16.713	0.020	16.743	0.103	99.900	99.900
54221.96891	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.877	0.018	18.239	0.079	99.900	99.900
54223.96025	20.592	0.267	19.078	0.045	18.070	0.019	18.604	0.022	17.821	0.016	17.662	0.019	99.900	99.900	99.900	99.900	99.900	99.900
54228.96966	99.900	99.900	19.235	0.037	18.274	0.022	18.687	0.023	18.032	0.019	17.792	0.024	99.900	99.900	99.900	99.900	99.900	99.900
54229.96152	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.364	0.042	18.689	0.273	16.487	0.091
54234.95241	21.031	0.249	19.419	0.036	18.516	0.026	18.870	0.032	18.393	0.023	18.211	0.029	99.900	99.900	99.900	99.900	99.900	99.900
54238.95024	20.940	0.292	19.487	0.040	18.578	0.024	19.027	0.040	18.562	0.028	18.336	0.031	99.900	99.900	99.900	99.900	99.900	99.900
54245.95085	99.900	99.900	19.531	0.074	18.812	0.042	19.071	0.068	18.837	0.037	18.433	0.045	99.900	99.900	99.900	99.900	99.900	99.900
54247.95895	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.081	0.175	99.900	99.900	99.900	99.900
