# CSP Optical + NIR data for SN2006ef
# Timestamp:  2011-10-25 15:53:09
# zcmb = 0.017006	  RA = 02:04:19.51	 DEC = -08:43:42.20
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53979.39369	17.206	0.018	16.212	0.012	15.877	0.006	15.973	0.006	16.025	0.005	16.828	0.007
53981.29737	17.507	0.020	16.459	0.010	15.994	0.008	16.184	0.007	16.143	0.007	16.893	0.009
53986.29685	99.900	99.900	17.138	0.022	16.321	0.009	16.731	0.009	16.253	0.008	16.739	0.008
53998.29082	19.564	0.058	18.357	0.018	17.287	0.009	17.962	0.008	16.890	0.006	16.977	0.008
54001.32572	19.713	0.033	18.522	0.016	17.464	0.009	18.131	0.009	17.090	0.009	17.217	0.009
54003.30571	19.844	0.040	18.623	0.018	17.560	0.011	18.214	0.010	17.206	0.009	17.342	0.012
54008.28640	19.935	0.038	18.751	0.018	17.757	0.011	18.365	0.010	17.406	0.009	17.616	0.010
54014.19538	20.028	0.110	18.831	0.038	17.908	0.017	18.498	0.020	17.665	0.020	17.883	0.017
54036.21817	20.533	0.056	19.206	0.020	18.529	0.013	18.847	0.012	18.385	0.009	18.775	0.017
54040.19062	20.633	0.106	19.272	0.029	18.608	0.016	18.891	0.014	18.489	0.013	18.921	0.023
