# CSP Optical + NIR data for SN2004gc
# Timestamp:  2011-10-25 15:53:07
# zcmb = 0.030715	  RA = 05:21:49.94	 DEC = +06:40:33.71
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53329.30532	17.629	0.011	17.354	0.010	17.439	0.010	17.232	0.015	17.775	0.036
53330.27366	17.680	0.011	17.362	0.011	17.454	0.008	17.196	0.009	17.694	0.014
53331.24252	17.729	0.011	17.372	0.010	17.509	0.009	17.206	0.010	17.702	0.014
53332.23508	17.807	0.014	17.404	0.010	17.571	0.010	17.227	0.009	17.731	0.016
53333.26888	17.925	0.010	17.410	0.009	17.629	0.008	17.257	0.009	17.795	0.014
53336.24668	18.196	0.016	17.563	0.011	17.856	0.011	17.376	0.009	17.948	0.017
53337.25888	18.336	0.017	17.609	0.012	17.970	0.012	17.445	0.011	18.029	0.016
53340.22913	18.669	0.014	17.818	0.010	18.301	0.011	17.587	0.011	18.043	0.015
53341.23903	18.830	0.016	17.894	0.010	18.391	0.010	17.574	0.016	18.077	0.012
53344.22655	19.177	0.016	18.095	0.013	18.740	0.011	17.749	0.009	18.047	0.014
53345.21812	19.301	0.017	18.198	0.011	18.835	0.011	17.766	0.014	18.074	0.020
53348.27123	19.632	0.020	18.389	0.014	19.132	0.014	17.872	0.011	18.057	0.012
53349.26793	99.900	99.900	18.383	0.040	19.197	0.012	17.918	0.008	18.102	0.021
53352.20469	19.932	0.023	18.609	0.015	19.438	0.013	18.018	0.011	18.049	0.013
53353.16368	20.014	0.023	18.692	0.016	19.492	0.014	18.077	0.010	18.062	0.016
53356.23496	20.198	0.023	18.893	0.014	19.734	0.016	18.272	0.019	18.230	0.017
53357.18512	99.900	99.900	99.900	99.900	19.759	0.017	18.360	0.015	99.900	99.900
53361.15316	20.448	0.045	19.235	0.018	19.980	0.028	18.613	0.015	18.660	0.016
53369.18443	20.738	0.098	19.409	0.035	20.235	0.064	19.000	0.049	19.157	0.040
53372.18412	20.699	0.055	19.576	0.020	20.252	0.022	19.046	0.016	19.245	0.023
53373.18001	20.842	0.073	19.557	0.029	20.296	0.030	19.051	0.015	19.373	0.037
53376.19059	20.825	0.051	19.663	0.024	20.351	0.022	19.103	0.017	99.900	99.900
53380.19735	20.935	0.162	19.826	0.057	20.494	0.050	19.208	0.025	19.649	0.062
53381.17890	20.959	0.052	19.710	0.031	20.476	0.025	19.342	0.021	19.678	0.038
53385.17838	20.910	0.049	19.893	0.026	20.545	0.027	19.296	0.032	19.806	0.038
53387.18985	20.946	0.084	19.899	0.031	99.900	99.900	19.443	0.021	19.898	0.053
53390.09478	20.967	0.120	19.955	0.048	99.900	99.900	19.432	0.030	99.900	99.900
53394.14932	21.075	0.193	20.001	0.069	99.900	99.900	99.900	99.900	20.087	0.071
53397.13396	21.106	0.139	20.061	0.051	20.703	0.050	19.750	0.032	20.172	0.055
