# CSP Optical + NIR data for SN2006br
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.025523	  RA = 13:30:1.92	 DEC = +13:24:56.88
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53855.14116	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.779	0.083	17.448	0.046	17.555	0.121
53858.16757	19.427	0.029	18.388	0.019	18.856	0.020	17.938	0.019	18.215	0.028	99.900	99.900	99.900	99.900	99.900	99.900
53859.16296	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.985	0.060	18.035	0.076	17.568	0.147
53861.16742	19.712	0.024	18.550	0.017	19.096	0.018	18.219	0.012	18.601	0.024	99.900	99.900	99.900	99.900	99.900	99.900
53862.13646	19.779	0.027	18.616	0.017	19.200	0.019	18.288	0.013	18.765	0.034	99.900	99.900	99.900	99.900	99.900	99.900
53863.15108	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.014	0.046	18.952	0.137	17.761	0.144
53864.19113	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.014	0.051	18.794	0.115	17.604	0.115
53866.13741	20.134	0.074	18.845	0.029	19.518	0.046	18.478	0.016	18.786	0.027	99.900	99.900	99.900	99.900	99.900	99.900
53867.17434	20.377	0.140	18.980	0.041	19.520	0.049	18.496	0.022	18.676	0.028	99.900	99.900	99.900	99.900	99.900	99.900
53868.16409	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.901	0.038	18.730	0.111	17.584	0.088
53870.19853	20.635	0.178	19.068	0.046	20.029	0.083	18.500	0.022	18.486	0.025	99.900	99.900	99.900	99.900	99.900	99.900
53871.15281	20.829	0.128	19.182	0.029	20.051	0.059	18.523	0.016	18.507	0.019	99.900	99.900	99.900	99.900	99.900	99.900
53872.17867	20.867	0.126	19.217	0.030	20.151	0.044	18.529	0.020	18.478	0.021	99.900	99.900	99.900	99.900	99.900	99.900
53890.10260	21.657	0.144	20.563	0.085	21.298	0.109	19.541	0.027	19.401	0.039	99.900	99.900	99.900	99.900	99.900	99.900
