# CSP Optical + NIR data for SN2005kc
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.013890	  RA = 22:34:7.44	 DEC = +05:34:6.31
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53687.00777	17.986	0.028	17.266	0.016	17.012	0.012	17.092	0.009	16.792	0.010	16.801	0.012	99.900	99.900	99.900	99.900	99.900	99.900
53688.05307	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.108	0.015	15.967	0.027	16.020	0.025
53689.05899	17.337	0.023	16.732	0.013	16.502	0.010	16.588	0.010	16.293	0.009	16.339	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53690.03215	99.900	99.900	16.567	0.012	16.346	0.008	16.414	0.006	16.130	0.007	16.193	0.008	99.900	99.900	99.900	99.900	99.900	99.900
53691.05565	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.717	0.011	15.569	0.015	15.719	0.022
53693.05670	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.591	0.025	15.448	0.016	15.600	0.030
53694.07289	16.753	0.011	16.146	0.009	15.892	0.007	15.990	0.008	15.723	0.008	15.888	0.008	99.900	99.900	99.900	99.900	99.900	99.900
53695.08280	16.758	0.017	16.087	0.009	15.853	0.009	15.940	0.008	15.667	0.007	15.888	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53696.01185	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.687	0.020	15.495	0.013	15.700	0.016
53698.04608	16.785	0.016	16.039	0.008	15.767	0.006	15.868	0.005	15.612	0.005	15.985	0.006	99.900	99.900	99.900	99.900	99.900	99.900
53699.03235	16.855	0.016	16.059	0.010	15.754	0.007	15.883	0.008	15.598	0.007	16.000	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53701.06392	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.089	0.016	15.830	0.023	15.962	0.029
53702.04204	17.131	0.018	16.190	0.009	15.806	0.006	15.969	0.005	15.631	0.005	16.096	0.007	99.900	99.900	99.900	99.900	99.900	99.900
53705.01242	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.326	0.016	16.360	0.023	16.103	0.024
53706.04878	99.900	99.900	16.497	0.010	15.938	0.006	16.188	0.008	15.823	0.008	16.318	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53710.00824	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.352	0.016	17.004	0.060	16.097	0.032
53712.02021	18.427	0.034	17.177	0.013	16.337	0.010	16.722	0.009	16.192	0.009	16.618	0.011	99.900	99.900	99.900	99.900	99.900	99.900
53714.02535	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.137	0.014	16.895	0.043	15.937	0.031
53716.02969	19.177	0.092	17.691	0.020	16.624	0.010	17.158	0.010	16.309	0.006	16.546	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53718.02303	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.899	0.011	16.840	0.039	99.900	99.900
53720.03603	19.632	0.140	18.138	0.036	16.848	0.011	17.548	0.013	16.382	0.007	16.473	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53728.03398	99.900	99.900	18.744	0.035	17.353	0.014	18.223	0.016	99.900	99.900	16.644	0.011	99.900	99.900	99.900	99.900	99.900	99.900
