# CSP Optical + NIR data for SN2006ev
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.027599	  RA = 21:30:59.28	 DEC = +13:59:21.12
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53993.06972	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.734	0.033	17.523	0.052	17.645	0.110
53994.07206	18.784	0.035	17.596	0.009	17.299	0.008	17.392	0.007	17.180	0.007	17.695	0.012	99.900	99.900	99.900	99.900	99.900	99.900
53995.09740	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.799	0.029	17.932	0.048	17.641	0.083
53996.01516	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.960	0.076	18.251	0.130	17.623	0.183
53998.05023	19.350	0.060	17.971	0.010	17.480	0.008	17.670	0.007	17.425	0.007	18.086	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54001.03449	19.718	0.048	18.314	0.014	17.688	0.012	17.974	0.011	17.650	0.012	18.294	0.016	99.900	99.900	99.900	99.900	99.900	99.900
54003.05395	19.980	0.051	18.601	0.016	17.816	0.012	18.196	0.009	17.743	0.010	18.323	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54007.06774	20.376	0.092	19.106	0.020	18.113	0.011	18.659	0.012	17.840	0.010	18.248	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54008.03110	20.571	0.109	19.207	0.024	18.155	0.012	18.755	0.011	17.864	0.011	18.202	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54008.99201	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.603	0.052	99.900	99.900	99.900	99.900
54010.11358	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.632	0.048	99.900	99.900	99.900	99.900
54011.00954	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.550	0.024	18.294	0.152	17.705	0.100
54012.09130	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.480	0.013	18.334	0.075	17.694	0.051
54013.04940	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.445	0.027	18.291	0.031	17.523	0.037
54014.03499	99.900	99.900	19.931	0.146	18.634	0.049	19.332	0.072	18.034	0.018	18.128	0.022	99.900	99.900	99.900	99.900	99.900	99.900
54017.06950	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.313	0.013	18.189	0.050	17.767	0.028
54018.03914	21.243	0.176	20.088	0.044	18.909	0.019	19.683	0.020	18.398	0.016	18.331	0.017	99.900	99.900	99.900	99.900	99.900	99.900
54023.00088	21.550	0.114	20.334	0.025	19.220	0.013	19.991	0.016	18.717	0.009	18.747	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54024.00359	21.550	0.132	20.440	0.028	19.320	0.013	99.900	99.900	18.770	0.009	18.833	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54025.03460	99.900	99.900	20.446	0.050	19.339	0.025	20.085	0.028	18.833	0.017	18.926	0.026	99.900	99.900	99.900	99.900	99.900	99.900
54038.01155	99.900	99.900	20.854	0.116	19.710	0.051	20.444	0.065	19.262	0.027	19.559	0.041	99.900	99.900	99.900	99.900	99.900	99.900
54038.99801	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.643	0.028	19.776	0.123	18.971	0.111
