# CSP Optical + NIR data for SN2007jh
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.040264	  RA = 03:36:1.54	 DEC = +01:06:12.20
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
54363.34793	18.803	0.019	18.519	0.014	18.581	0.015	18.366	0.016	18.556	0.023
54364.37982	18.754	0.016	18.435	0.016	18.516	0.011	18.301	0.015	18.589	0.036
54368.36071	18.837	0.034	18.366	0.022	18.552	0.022	18.191	0.019	18.598	0.041
54376.33887	19.993	0.047	18.911	0.021	19.543	0.029	18.575	0.016	18.891	0.023
54378.38505	99.900	99.900	18.950	0.108	19.825	0.029	18.700	0.017	18.902	0.033
54380.37199	20.734	0.346	19.270	0.046	20.066	0.025	18.793	0.033	18.842	0.025
54385.38756	99.900	99.900	19.602	0.091	99.900	99.900	99.900	99.900	99.900	99.900
54392.35478	21.281	0.144	20.209	0.078	20.929	0.058	19.660	0.042	19.648	0.064
54394.29072	21.385	0.089	20.447	0.058	21.083	0.079	19.763	0.045	19.756	0.049
54395.34689	21.682	0.192	20.534	0.081	21.240	0.164	19.929	0.045	19.750	0.068
54398.34477	99.900	99.900	99.900	99.900	99.900	99.900	19.873	0.082	19.839	0.074
54409.36064	99.900	99.900	99.900	99.900	21.388	0.132	20.412	0.075	99.900	99.900
54413.29233	99.900	99.900	99.900	99.900	21.428	0.090	99.900	99.900	20.307	0.116
54425.29183	99.900	99.900	21.656	0.299	21.604	0.213	21.136	0.223	20.465	0.245
