# CSP Optical + NIR data for SN2006gj
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.027750	  RA = 03:17:35.81	 DEC = -01:41:30.19
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53998.31932	18.741	0.027	17.995	0.012	17.702	0.010	17.808	0.009	17.493	0.008	17.643	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54001.35750	18.961	0.029	17.983	0.014	17.628	0.015	17.759	0.014	17.416	0.012	17.690	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54002.34619	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.465	0.027	17.367	0.034	17.506	0.077
54003.38184	19.200	0.042	18.110	0.014	17.639	0.012	17.853	0.010	17.425	0.009	17.698	0.017	99.900	99.900	99.900	99.900	99.900	99.900
54006.27693	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.723	0.057	18.108	0.141	17.788	0.095
54007.32367	19.763	0.052	18.533	0.020	17.839	0.012	18.155	0.013	17.666	0.011	18.075	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54010.30439	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.824	0.059	99.900	99.900	99.900	99.900
54011.31746	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.816	0.037	18.326	0.098	17.956	0.113
54013.27030	99.900	99.900	19.414	0.060	18.287	0.026	18.885	0.028	17.968	0.014	18.199	0.017	99.900	99.900	99.900	99.900	99.900	99.900
54015.29733	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.478	0.339	99.900	99.900	99.900	99.900
54016.30057	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.438	0.022	18.355	0.083	17.625	0.123
54021.29645	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.185	0.025	99.900	99.900	99.900	99.900
54027.28773	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.567	0.034	18.424	0.097	99.900	99.900
54029.25108	21.917	0.289	20.987	0.131	19.690	0.045	20.419	0.048	19.055	0.017	18.905	0.023	99.900	99.900	99.900	99.900	99.900	99.900
54030.26788	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.753	0.036	18.971	0.242	99.900	99.900
54036.26381	99.900	99.900	21.218	0.126	19.933	0.041	20.647	0.058	19.383	0.024	19.313	0.036	99.900	99.900	99.900	99.900	99.900	99.900
54037.22659	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.126	0.019	19.091	0.067	99.900	99.900
54038.30257	99.900	99.900	21.289	0.122	19.966	0.045	20.713	0.064	19.469	0.029	19.431	0.040	99.900	99.900	99.900	99.900	99.900	99.900
54039.28978	99.900	99.900	21.355	0.184	19.946	0.052	20.641	0.064	19.451	0.022	19.467	0.036	99.900	99.900	99.900	99.900	99.900	99.900
54040.27578	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.261	0.164	19.249	0.087	99.900	99.900
54042.19491	99.900	99.900	21.369	0.254	20.146	0.082	20.638	0.082	19.585	0.035	19.579	0.047	99.900	99.900	99.900	99.900	99.900	99.900
54044.23439	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.514	0.097	19.343	0.134	99.900	99.900
54048.22291	99.900	99.900	21.412	0.247	20.349	0.086	20.921	0.106	19.798	0.047	19.899	0.052	18.867	0.032	20.812	0.174	99.900	99.900
54052.21572	99.900	99.900	21.603	0.166	20.421	0.069	21.026	0.081	19.927	0.034	19.973	0.043	99.900	99.900	99.900	99.900	99.900	99.900
54056.17207	99.900	99.900	21.268	0.109	20.535	0.066	21.044	0.088	20.119	0.049	20.150	0.061	99.900	99.900	99.900	99.900	99.900	99.900
54060.21532	99.900	99.900	21.677	0.174	20.596	0.064	21.055	0.061	20.227	0.040	20.187	0.058	99.900	99.900	99.900	99.900	99.900	99.900
54066.27314	99.900	99.900	21.664	0.141	20.811	0.087	21.303	0.104	20.502	0.060	20.576	0.105	99.900	99.900	99.900	99.900	99.900	99.900
54069.15079	99.900	99.900	21.544	0.163	20.925	0.112	21.110	0.101	20.534	0.068	20.481	0.089	99.900	99.900	99.900	99.900	99.900	99.900
54079.21466	99.900	99.900	22.084	0.279	21.224	0.149	21.508	0.142	21.051	0.115	20.885	0.153	99.900	99.900	99.900	99.900	99.900	99.900
54084.19787	99.900	99.900	21.773	0.132	21.178	0.112	21.522	0.124	21.191	0.094	21.171	0.168	99.900	99.900	99.900	99.900	99.900	99.900
54096.09075	99.900	99.900	22.358	0.281	21.786	0.233	21.589	0.149	21.619	0.174	21.407	0.204	99.900	99.900	99.900	99.900	99.900	99.900
