# CSP Optical + NIR data for SN2006ob
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.058254	  RA = 01:51:48.12	 DEC = +00:15:48.30
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54060.12911	18.751	0.020	18.408	0.012	18.365	0.014	18.310	0.011	18.382	0.013	18.617	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54063.05794	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.472	0.078	18.389	0.100	99.900	99.900
54065.06558	19.092	0.030	18.377	0.013	18.247	0.012	18.244	0.010	18.224	0.011	18.632	0.021	99.900	99.900	99.900	99.900	99.900	99.900
54066.12034	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.802	0.021	18.883	0.034	18.977	0.104
54067.14929	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.756	0.174	18.703	0.110	18.665	0.361
54070.03104	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.828	0.099	18.825	0.150	18.936	0.339
54072.10830	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.984	0.125	19.057	0.167	99.900	99.900
54073.09504	20.390	0.182	19.101	0.052	18.671	0.026	18.921	0.030	18.592	0.024	19.174	0.038	99.900	99.900	99.900	99.900	99.900	99.900
54074.13606	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.802	0.082	19.202	0.210	18.794	0.360
54075.10564	20.431	0.173	19.425	0.046	18.781	0.027	19.111	0.032	18.753	0.022	19.328	0.033	99.900	99.900	99.900	99.900	99.900	99.900
54077.06331	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.724	0.087	18.929	0.253	99.900	99.900
54079.13473	21.727	0.255	20.036	0.038	19.159	0.025	19.689	0.021	18.887	0.015	19.155	0.031	99.900	99.900	99.900	99.900	99.900	99.900
54083.06466	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.505	0.102	18.807	0.253	99.900	99.900
54084.05179	99.900	99.900	20.586	0.084	19.626	0.042	20.272	0.036	19.149	0.025	19.133	0.040	99.900	99.900	99.900	99.900	99.900	99.900
54087.05476	99.900	99.900	21.012	0.050	19.943	0.038	20.600	0.034	19.419	0.024	19.276	0.028	99.900	99.900	99.900	99.900	99.900	99.900
54090.03612	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.560	0.042	99.900	99.900	99.900	99.900
54092.06575	99.900	99.900	21.225	0.063	20.382	0.045	20.917	0.047	19.828	0.031	19.709	0.041	99.900	99.900	99.900	99.900	99.900	99.900
54098.04005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	19.032	0.108	99.900	99.900	99.900	99.900
54100.03799	99.900	99.900	21.462	0.272	20.758	0.244	20.955	0.176	20.085	0.101	20.163	0.136	19.195	0.040	19.998	0.215	19.870	0.163
54104.04623	99.900	99.900	21.464	0.242	20.834	0.114	21.503	0.175	20.357	0.061	20.362	0.081	99.900	99.900	99.900	99.900	99.900	99.900
54108.05758	99.900	99.900	21.804	0.110	20.882	0.052	21.352	0.055	20.406	0.029	20.609	0.062	99.900	99.900	99.900	99.900	99.900	99.900
54109.08206	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	20.132	0.454	99.900	99.900	99.900	99.900
54112.05912	99.900	99.900	21.901	0.104	20.859	0.057	21.409	0.068	20.515	0.040	20.666	0.090	99.900	99.900	99.900	99.900	99.900	99.900
54121.05617	99.900	99.900	22.213	0.230	21.041	0.124	21.573	0.091	20.661	0.063	20.846	0.117	99.900	99.900	99.900	99.900	99.900	99.900
