# CSP Optical + NIR data for SN2007ba
# Timestamp:  2011-10-25 15:53:10
# zcmb = 0.039055	  RA = 15:16:42.72	 DEC = +07:23:47.80
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
54191.29608	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.974	0.044	17.839	0.073	17.932	0.250	99.900	99.900
54193.31267	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.703	0.029	17.660	0.042	17.662	0.094	99.900	99.900
54194.33075	18.815	0.064	17.982	0.017	17.772	0.014	17.771	0.012	17.685	0.016	17.726	0.022	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54196.32353	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.535	0.019	17.630	0.040	17.545	0.103	99.900	99.900
54197.33598	18.958	0.066	17.919	0.014	17.613	0.011	17.686	0.009	17.483	0.014	17.690	0.022	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54198.28514	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.541	0.037	17.663	0.035	99.900	99.900	99.900	99.900
54200.34084	99.900	99.900	18.119	0.015	17.597	0.011	99.900	99.900	17.405	0.014	17.668	0.025	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54202.36620	19.844	0.068	18.323	0.014	17.682	0.009	17.963	0.009	17.467	0.017	17.761	0.030	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54203.33058	19.842	0.048	18.466	0.013	17.729	0.009	18.047	0.009	17.493	0.024	17.902	0.032	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54205.27545	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.831	0.022	99.900	99.900	18.118	0.113	99.900	99.900
54207.27762	20.542	0.098	19.108	0.017	18.123	0.010	18.624	0.010	17.718	0.028	18.009	0.037	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54208.31817	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.852	0.023	99.900	99.900	18.154	0.160	99.900	99.900
54211.29803	21.121	0.312	19.698	0.046	18.570	0.015	19.222	0.015	17.973	0.026	18.091	0.031	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54213.26235	21.348	0.246	19.952	0.030	18.753	0.013	19.431	0.017	18.062	0.032	18.057	0.038	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54217.27634	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.685	0.021	18.575	0.080	99.900	99.900	99.900	99.900
54218.33139	22.301	0.483	20.309	0.061	19.261	0.030	19.808	0.026	18.440	0.036	18.328	0.038	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
