# CSP Optical + NIR data for SN2009F
# Timestamp:  2011-10-25 15:53:10
# zcmb = 0.012909	  RA = 04:59:23.57	 DEC = -11:07:50.16
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54838.09087	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.896	0.037	16.792	0.023	16.724	0.028
54840.06633	18.525	0.046	17.424	0.010	16.835	0.009	17.081	0.008	16.786	0.007	16.812	0.007	16.547	0.058	16.463	0.021	16.225	0.019
54841.08729	18.476	0.042	17.393	0.012	16.742	0.009	17.007	0.007	16.663	0.007	16.698	0.009	16.454	0.033	16.319	0.020	16.276	0.026
54842.05295	18.635	0.026	17.383	0.010	16.679	0.006	16.974	0.006	16.508	0.044	16.607	0.007	99.900	99.900	16.221	0.022	99.900	99.900
54843.01166	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.341	0.034	99.900	99.900	16.032	0.007
54845.15937	19.012	0.040	17.620	0.011	16.663	0.007	17.107	0.008	16.439	0.006	16.481	0.006	99.900	99.900	99.900	99.900	99.900	99.900
54846.18236	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.105	0.009	16.266	0.067	15.942	0.017
54848.15548	19.664	0.038	18.143	0.012	16.898	0.009	17.590	0.017	16.562	0.008	16.560	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54849.13294	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.139	0.010	16.465	0.088	15.998	0.069
54853.14415	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.229	0.010	16.716	0.027	16.202	0.026
54855.18221	20.719	0.086	19.192	0.025	17.743	0.010	18.572	0.013	17.248	0.008	17.003	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54856.14877	20.621	0.070	19.292	0.022	17.826	0.013	18.722	0.033	17.306	0.009	17.131	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54857.19584	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.505	0.015	17.154	0.026	99.900	99.900
54859.16371	21.133	0.201	19.511	0.033	18.079	0.014	18.848	0.014	17.618	0.009	17.463	0.011	99.900	99.900	99.900	99.900	99.900	99.900
54860.11165	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.739	0.015	17.770	0.076	17.119	0.083
54867.13284	99.900	99.900	19.739	0.065	18.560	0.023	19.300	0.030	18.169	0.013	18.007	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54870.10723	21.472	0.452	19.978	0.089	18.706	0.025	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54871.13354	99.900	99.900	19.928	0.099	18.656	0.028	19.394	0.063	18.448	0.023	18.273	0.022	99.900	99.900	99.900	99.900	99.900	99.900
54872.13756	99.900	99.900	99.900	99.900	18.830	0.038	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54873.07786	21.389	0.288	19.978	0.054	18.837	0.023	19.466	0.033	18.524	0.015	18.393	0.017	99.900	99.900	99.900	99.900	99.900	99.900
54879.13118	21.536	0.215	20.159	0.042	19.042	0.025	19.666	0.027	18.910	0.019	18.663	0.021	99.900	99.900	99.900	99.900	99.900	99.900
54884.11327	21.800	0.206	20.381	0.057	19.204	0.023	19.733	0.024	19.149	0.022	18.898	0.025	99.900	99.900	99.900	99.900	99.900	99.900
