# CSP Optical + NIR data for SN2006kf
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.020799	  RA = 03:41:50.47	 DEC = +08:09:24.98
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
54036.30016	17.621	0.017	17.070	0.007	16.931	0.007	16.943	0.007	16.769	0.007	16.880	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54037.28931	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.492	0.019	16.364	0.011	16.498	0.041	21.251	0.086
54038.26588	17.486	0.014	16.901	0.007	16.734	0.007	16.751	0.006	16.596	0.007	16.788	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54039.23876	17.485	0.014	16.839	0.007	16.685	0.007	16.708	0.007	16.555	0.006	16.811	0.008	16.560	0.009	16.389	0.008	99.900	99.900	21.213	0.043
54041.21081	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.681	0.019	16.523	0.030	16.702	0.050	99.900	99.900
54042.22302	17.595	0.020	16.825	0.009	16.624	0.009	16.679	0.007	16.499	0.007	16.920	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54043.16166	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.843	0.024	16.704	0.028	16.785	0.111	99.900	99.900
54045.23014	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.000	0.030	16.998	0.048	16.888	0.082	99.900	99.900
54047.22888	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.130	0.023	17.431	0.049	17.040	0.155	99.900	99.900
54048.26265	18.359	0.036	17.262	0.009	16.796	0.007	17.011	0.007	16.751	0.006	17.323	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
