# CSP Optical + NIR data for SN2006bt
# Timestamp:  2011-10-27 14:30:43
# zcmb = 0.032480	  RA = 15:56:30.48	 DEC = +20:02:45.60
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53853.23852	17.740	0.017	17.253	0.010	17.117	0.010	17.088	0.009	17.139	0.008	17.371	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53855.22671	17.642	0.010	17.163	0.006	17.002	0.006	16.990	0.005	17.021	0.005	17.266	0.005	17.068	0.025	17.011	0.084	16.812	0.198
53858.24891	17.709	0.027	17.145	0.008	16.940	0.007	16.940	0.006	16.941	0.007	17.256	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53859.27962	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.065	0.022	17.065	0.044	17.114	0.118
53861.27188	17.952	0.021	17.232	0.008	16.947	0.007	16.995	0.006	16.937	0.005	17.272	0.008	99.900	99.900	99.900	99.900	99.900	99.900
53862.23186	18.073	0.022	17.290	0.008	16.965	0.008	17.037	0.007	16.947	0.007	17.291	0.008	99.900	99.900	99.900	99.900	99.900	99.900
53863.21928	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.175	0.042	17.157	0.042	17.131	0.059
53864.25907	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.156	0.022	17.157	0.034	17.255	0.070
53866.19448	18.543	0.049	17.537	0.012	17.098	0.009	17.251	0.009	17.040	0.008	17.390	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53867.24777	18.569	0.062	17.632	0.015	17.130	0.009	17.321	0.010	17.075	0.009	17.412	0.012	99.900	99.900	99.900	99.900	99.900	99.900
53869.23859	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.261	0.037	17.413	0.036	17.174	0.114
53870.26801	19.089	0.163	17.911	0.019	17.308	0.011	17.550	0.011	17.207	0.009	17.530	0.013	99.900	99.900	99.900	99.900	99.900	99.900
53871.20701	19.224	0.086	18.028	0.016	17.375	0.009	17.666	0.009	17.244	0.008	17.545	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53872.23942	19.262	0.065	18.119	0.015	17.450	0.009	17.764	0.010	17.299	0.009	17.561	0.011	99.900	99.900	99.900	99.900	99.900	99.900
53886.15222	20.522	0.049	19.374	0.012	18.359	0.006	18.940	0.006	17.900	0.004	17.784	0.004	99.900	99.900	99.900	99.900	99.900	99.900
53890.17855	20.614	0.218	19.572	0.027	18.574	0.044	19.101	0.014	18.082	0.021	18.021	0.017	99.900	99.900	99.900	99.900	99.900	99.900
53891.19798	20.652	0.189	19.633	0.035	18.601	0.016	19.184	0.017	18.169	0.010	18.030	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53893.18192	20.681	0.144	19.653	0.029	18.668	0.011	19.242	0.013	18.234	0.005	18.141	0.006	99.900	99.900	99.900	99.900	99.900	99.900
53894.13987	20.661	0.180	19.702	0.031	18.710	0.014	19.270	0.018	99.900	99.900	18.189	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53897.08120	20.821	0.164	19.756	0.040	18.786	0.017	19.383	0.037	18.366	0.008	18.298	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53898.10721	21.233	0.212	19.737	0.032	18.807	0.012	19.357	0.014	18.421	0.007	18.363	0.009	99.900	99.900	99.900	99.900	99.900	99.900
