# CSP Optical + NIR data for SN2004dt
# Timestamp:  2011-10-25 15:53:07
# zcmb = 0.018812	  RA = 02:02:12.77	 DEC = -00:05:51.50
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53249.26997	16.630	0.013	15.769	0.006	15.576	0.006	15.593	0.004	15.660	0.004	16.069	0.006
53250.29201	16.782	0.012	15.848	0.008	15.629	0.009	15.661	0.008	15.701	0.007	16.110	0.009
53251.31405	16.886	0.011	15.949	0.009	15.672	0.009	15.768	0.008	15.753	0.009	16.110	0.009
53252.34789	17.030	0.011	16.047	0.006	15.719	0.005	15.835	0.005	15.786	0.004	16.049	0.007
53253.26951	17.150	0.011	16.151	0.013	15.774	0.005	15.910	0.004	15.778	0.004	99.900	99.900
53256.22375	17.627	0.009	16.568	0.006	15.960	0.010	16.237	0.005	15.803	0.005	16.021	0.007
53257.21014	17.767	0.013	16.705	0.008	16.016	0.009	16.355	0.008	15.837	0.010	16.032	0.011
53258.24234	17.913	0.011	16.854	0.007	16.080	0.008	16.487	0.005	15.858	0.005	16.008	0.007
53259.25928	18.062	0.011	16.998	0.006	16.159	0.005	16.622	0.004	15.901	0.004	15.993	0.005
53260.28264	18.216	0.011	17.132	0.008	16.239	0.008	16.732	0.008	15.931	0.009	15.992	0.009
53261.19531	18.350	0.013	17.226	0.013	16.315	0.011	16.847	0.008	15.953	0.009	15.982	0.009
53262.19022	18.446	0.014	17.383	0.009	16.402	0.010	16.966	0.011	16.045	0.009	16.018	0.009
53263.24848	18.602	0.016	17.513	0.014	16.524	0.013	17.077	0.012	16.104	0.011	16.082	0.014
53264.22499	18.707	0.019	17.607	0.015	16.590	0.013	17.206	0.010	16.154	0.011	16.124	0.014
53265.26678	18.802	0.015	17.707	0.014	16.664	0.009	17.315	0.008	16.243	0.007	16.158	0.008
53266.21198	18.847	0.015	17.797	0.009	16.742	0.007	17.378	0.005	16.307	0.004	16.231	0.005
53267.22001	18.945	0.022	17.859	0.012	16.805	0.008	17.452	0.008	16.385	0.006	16.289	0.009
53268.22471	19.016	0.018	17.901	0.009	16.851	0.007	17.497	0.009	16.397	0.008	16.338	0.010
53269.17606	99.900	99.900	17.955	0.017	16.928	0.007	99.900	99.900	99.900	99.900	99.900	99.900
53270.18012	99.900	99.900	17.997	0.011	16.955	0.006	99.900	99.900	99.900	99.900	99.900	99.900
53271.27227	19.130	0.023	18.035	0.011	16.997	0.007	17.642	0.008	16.546	0.007	16.532	0.009
53272.25135	19.120	0.026	18.071	0.012	17.030	0.008	17.682	0.009	16.592	0.009	16.565	0.008
53273.27770	19.105	0.032	18.110	0.012	17.062	0.009	17.693	0.008	16.633	0.008	16.623	0.009
53274.19874	19.169	0.039	18.124	0.016	17.074	0.009	17.746	0.009	16.675	0.007	16.672	0.008
53275.21882	19.297	0.061	18.144	0.022	17.119	0.009	17.766	0.011	16.729	0.008	16.742	0.008
53276.22678	19.114	0.058	18.163	0.026	17.139	0.009	17.780	0.017	16.760	0.007	16.785	0.010
53277.16295	19.320	0.095	18.174	0.031	17.157	0.016	17.823	0.017	16.768	0.013	16.796	0.018
53279.18153	19.272	0.044	18.204	0.019	17.216	0.011	17.818	0.012	16.837	0.010	16.879	0.011
53280.19347	19.321	0.031	18.206	0.016	17.252	0.012	17.841	0.010	16.869	0.009	16.932	0.014
53281.20693	19.302	0.028	18.264	0.016	17.273	0.011	17.862	0.009	16.917	0.009	16.981	0.009
53282.17868	19.390	0.026	99.900	99.900	99.900	99.900	17.876	0.009	16.941	0.009	17.033	0.013
53284.30732	99.900	99.900	18.304	0.013	17.321	0.043	17.877	0.008	17.043	0.005	17.085	0.008
53287.16703	19.433	0.021	18.321	0.009	17.412	0.008	17.962	0.007	17.088	0.007	17.210	0.009
53289.23863	19.446	0.019	18.349	0.010	17.452	0.009	17.943	0.010	17.171	0.009	17.292	0.010
53291.17230	19.479	0.021	18.361	0.010	17.505	0.008	17.991	0.008	17.224	0.007	17.364	0.009
53293.20307	19.520	0.032	18.347	0.026	17.527	0.009	18.031	0.005	17.286	0.005	17.427	0.006
53294.26838	19.584	0.026	18.427	0.010	17.564	0.007	18.046	0.006	17.329	0.005	17.474	0.006
53295.22655	19.517	0.027	18.430	0.010	17.579	0.011	18.038	0.009	17.325	0.009	17.499	0.011
53299.16248	19.640	0.027	18.471	0.012	17.679	0.011	18.101	0.008	17.435	0.012	17.632	0.016
53305.24398	19.761	0.081	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53323.21360	20.004	0.160	99.900	99.900	99.900	99.900	18.434	0.008	18.216	0.009	18.455	0.017
53324.16089	20.078	0.039	18.773	0.010	18.202	0.009	18.432	0.007	18.245	0.010	18.410	0.011
53329.16508	20.172	0.053	18.845	0.015	18.299	0.014	18.504	0.010	18.336	0.010	18.561	0.013
53331.09552	20.194	0.078	18.870	0.020	18.330	0.015	18.529	0.010	18.460	0.012	18.597	0.017
53341.07471	20.406	0.043	19.023	0.013	18.560	0.012	18.684	0.009	18.838	0.012	18.877	0.016
53345.10192	20.531	0.049	19.115	0.014	18.641	0.011	18.665	0.015	18.865	0.016	18.983	0.022
53349.07786	20.680	0.059	19.141	0.012	18.724	0.013	18.794	0.012	18.992	0.017	19.069	0.017
53365.09524	99.900	99.900	19.434	0.035	19.070	0.023	19.062	0.023	19.476	0.027	19.496	0.032
