# CSP Optical + NIR data for SN2005ke
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.004483	  RA = 03:35:4.34	 DEC = -24:56:38.76
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53689.17603	17.477	0.025	16.629	0.012	16.222	0.009	16.363	0.009	16.138	0.008	16.149	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53690.25623	16.912	0.016	16.139	0.010	15.743	0.008	15.893	0.007	15.662	0.007	15.737	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53691.26561	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.052	0.033	15.050	0.066	14.948	0.050	99.900	99.900
53692.27453	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.857	0.010	14.797	0.011	14.729	0.010	99.900	99.900
53693.24855	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.683	0.022	14.612	0.014	14.530	0.008	99.900	99.900
53694.25046	16.278	0.012	15.209	0.008	14.735	0.006	14.923	0.006	14.659	0.006	14.801	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53695.21153	16.235	0.013	15.095	0.008	14.591	0.009	14.787	0.006	14.510	0.006	14.673	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53696.26039	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.261	0.013	14.188	0.010	14.120	0.008	99.900	99.900
53697.19140	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.157	0.013	14.108	0.007	14.044	0.013	99.900	99.900
53698.21365	16.178	0.011	14.893	0.006	14.282	0.005	14.532	0.004	14.172	0.004	14.389	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53699.21282	16.221	0.014	14.919	0.011	14.226	0.006	14.505	0.006	14.128	0.009	14.336	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53700.24403	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.030	0.011	14.003	0.009	13.948	0.006	99.900	99.900
53701.23021	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.069	0.021	14.027	0.011	13.956	0.009	99.900	99.900
53702.20325	16.559	0.014	15.116	0.011	14.221	0.008	14.624	0.007	14.072	0.011	14.320	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53703.26363	16.712	0.015	15.289	0.013	14.272	0.007	14.742	0.006	14.071	0.005	14.326	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53704.22178	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.078	0.027	14.232	0.013	13.974	0.020	99.900	99.900
53705.22571	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.122	0.017	14.244	0.016	14.031	0.010	99.900	99.900
53706.21204	17.249	0.018	15.750	0.014	14.532	0.008	15.165	0.006	14.236	0.004	14.413	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53707.31600	17.453	0.022	15.917	0.008	14.673	0.009	15.348	0.007	14.310	0.004	14.459	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53709.21249	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.119	0.010	14.587	0.026	14.069	0.013	99.900	99.900
