# CSP Optical + NIR data for SN2007bd
# Timestamp:  2011-10-25 15:53:06
# zcmb = 0.031939	  RA = 08:31:33.36	 DEC = -01:11:57.98
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54197.02330	18.266	0.024	17.739	0.010	17.717	0.010	17.633	0.008	17.670	0.009	17.792	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54198.03840	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.377	0.069	17.398	0.056	17.511	0.182
54199.03381	17.674	0.017	17.231	0.009	17.254	0.010	17.134	0.009	17.171	0.011	17.382	0.017	99.900	99.900	99.900	99.900	99.900	99.900
54201.04123	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.047	0.024	16.989	0.041	17.206	0.153
54205.08229	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.185	0.028	17.129	0.039	17.470	0.136
54206.09745	17.235	0.054	16.653	0.020	16.648	0.011	16.622	0.073	16.630	0.016	17.219	0.047	99.900	99.900	99.900	99.900	99.900	99.900
54207.03751	17.254	0.096	16.665	0.007	16.636	0.012	16.549	0.008	16.605	0.007	17.257	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54207.97035	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.421	0.035	17.365	0.095	99.900	99.900
54212.99226	17.845	0.023	16.958	0.007	16.807	0.007	16.791	0.005	16.793	0.006	17.479	0.011	99.900	99.900	99.900	99.900	99.900	99.900
54216.97532	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.030	0.044	99.900	99.900	99.900	99.900
54218.01312	18.444	0.030	17.408	0.010	17.108	0.009	17.163	0.007	17.207	0.007	18.028	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54220.00000	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.999	0.050	99.900	99.900	18.051	0.103
54222.96766	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.914	0.020	18.814	0.123	17.919	0.039
54223.99077	19.334	0.062	18.159	0.015	17.478	0.010	17.774	0.009	17.408	0.009	18.021	0.016	99.900	99.900	99.900	99.900	99.900	99.900
54224.96303	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.704	0.017	18.800	0.065	17.913	0.066
54227.04769	99.900	99.900	18.483	0.020	17.650	0.010	18.083	0.011	17.440	0.009	17.850	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54227.97795	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.489	0.037	18.697	0.177	99.900	99.900
54233.98723	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.069	0.030	99.900	99.900	99.900	99.900
54234.98034	20.358	0.093	19.293	0.022	18.283	0.012	18.894	0.014	17.842	0.012	17.926	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54238.97837	20.668	0.148	19.606	0.033	18.611	0.020	19.177	0.015	18.131	0.010	18.203	0.021	99.900	99.900	99.900	99.900	99.900	99.900
54243.97457	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.605	0.048	18.958	0.199	99.900	99.900
54244.97459	20.872	0.302	19.868	0.063	18.858	0.030	19.404	0.032	18.428	0.016	18.572	0.025	99.900	99.900	99.900	99.900	99.900	99.900
54246.98554	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.857	0.071	99.900	99.900	18.198	0.346
54253.97231	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	19.364	0.321	99.900	99.900
54258.94879	21.322	0.344	20.113	0.049	19.322	0.028	19.769	0.056	18.938	0.025	19.262	0.046	99.900	99.900	99.900	99.900	99.900	99.900
54418.29652	21.906	0.448	22.411	0.228	22.114	0.231	22.171	0.139	22.820	0.335	21.472	0.234	99.900	99.900	99.900	99.900	99.900	99.900
54422.30956	99.900	99.900	22.630	0.247	22.334	0.242	22.147	0.131	22.553	0.237	21.626	0.222	99.900	99.900	99.900	99.900	99.900	99.900
