# CSP Optical + NIR data for SN2006is
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.031421	  RA = 05:17:34.37	 DEC = -23:46:54.12
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54009.35374	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.568	0.029	17.178	0.045	17.352	0.097
54013.36227	17.192	0.009	16.425	0.005	16.295	0.005	16.284	0.004	16.339	0.005	17.130	0.008	99.900	99.900	99.900	99.900	99.900	99.900
54014.33611	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.868	0.039	17.572	0.018	17.595	0.069
54016.37757	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.978	0.045	17.871	0.092	17.649	0.119
54017.39244	99.900	99.900	16.676	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54018.38413	17.656	0.022	16.749	0.008	99.900	99.900	16.583	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54021.35721	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.059	0.066	18.215	0.154	17.605	0.176
54025.35373	18.453	0.024	17.358	0.008	16.953	0.007	17.096	0.006	16.983	0.004	17.890	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54027.33821	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.815	0.052	18.906	0.282	17.736	0.144
54028.35030	18.742	0.024	17.619	0.009	17.069	0.009	17.322	0.007	17.009	0.007	17.840	0.010	99.900	99.900	99.900	99.900	99.900	99.900
54030.32896	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.517	0.031	18.613	0.109	99.900	99.900
54036.33964	19.390	0.045	18.250	0.011	17.414	0.008	17.885	0.007	17.082	0.006	17.651	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54037.35225	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.188	0.010	18.194	0.052	99.900	99.900
54038.29762	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.362	0.034
54039.32786	19.584	0.035	18.428	0.014	17.555	0.009	18.103	0.008	17.159	0.006	17.588	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54042.26035	19.662	0.073	18.599	0.017	17.747	0.010	18.283	0.011	17.304	0.009	17.618	0.012	99.900	99.900	99.900	99.900	99.900	99.900
54048.30173	19.792	0.105	18.909	0.025	18.148	0.012	18.576	0.013	17.686	0.009	17.960	0.015	17.075	0.019	18.087	0.019	17.603	0.035
54052.29651	20.072	0.069	19.025	0.014	18.312	0.011	18.742	0.009	17.885	0.008	18.241	0.011	99.900	99.900	99.900	99.900	99.900	99.900
54056.25765	20.291	0.077	19.118	0.014	18.440	0.013	18.845	0.011	18.021	0.008	18.416	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54060.30479	20.258	0.060	19.177	0.021	18.552	0.016	18.917	0.013	18.176	0.013	18.610	0.016	99.900	99.900	99.900	99.900	99.900	99.900
54065.27954	20.432	0.058	19.284	0.018	18.696	0.014	18.998	0.013	18.327	0.012	18.826	0.016	99.900	99.900	99.900	99.900	99.900	99.900
54071.18299	20.596	0.148	19.367	0.027	18.793	0.022	19.072	0.020	18.504	0.016	19.037	0.025	99.900	99.900	99.900	99.900	99.900	99.900
54080.33397	20.993	0.298	19.632	0.036	19.034	0.026	19.234	0.030	18.740	0.021	19.378	0.059	99.900	99.900	99.900	99.900	99.900	99.900
54084.22566	20.780	0.101	19.575	0.019	19.098	0.018	19.325	0.013	18.894	0.012	19.466	0.027	99.900	99.900	99.900	99.900	99.900	99.900
54087.18572	20.831	0.102	19.659	0.018	19.220	0.018	19.337	0.013	18.983	0.011	19.594	0.029	99.900	99.900	99.900	99.900	99.900	99.900
