# CSP Optical + NIR data for SN2005ir
# Timestamp:  2011-10-25 15:53:08
# zcmb = 0.075254	  RA = 01:16:43.87	 DEC = +00:47:37.30
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53682.10775	99.900	99.900	18.546	0.023	18.457	0.023	18.455	0.015	18.510	0.021	18.960	0.055
53683.10510	19.057	0.032	18.511	0.016	18.387	0.023	18.465	0.013	18.466	0.014	18.906	0.020
53684.13999	19.111	0.037	18.518	0.017	18.406	0.019	18.438	0.012	18.442	0.014	18.866	0.025
53687.12366	19.292	0.065	18.552	0.031	18.337	0.027	18.475	0.024	18.359	0.021	99.900	99.900
53690.12477	19.582	0.088	18.683	0.043	18.401	0.030	18.590	0.022	18.433	0.019	18.976	0.029
53694.17254	20.057	0.074	18.931	0.020	18.617	0.016	18.819	0.017	18.573	0.015	19.227	0.032
53695.15227	20.299	0.071	18.999	0.018	18.698	0.016	18.953	0.024	18.707	0.020	19.285	0.027
53698.10581	20.634	0.093	19.260	0.022	18.817	0.017	19.100	0.013	18.805	0.016	19.558	0.041
53703.13212	21.604	0.190	19.777	0.026	19.190	0.019	19.606	0.022	19.084	0.020	19.607	0.041
53707.16487	99.900	99.900	20.215	0.032	19.384	0.018	19.938	0.023	19.124	0.017	19.439	0.037
53722.09025	99.900	99.900	21.255	0.112	20.481	0.043	99.900	99.900	99.900	99.900	19.726	0.034
53728.12431	99.900	99.900	21.629	0.077	20.690	0.040	99.900	99.900	99.900	99.900	20.062	0.047
53738.06327	99.900	99.900	99.900	99.900	20.964	0.063	99.900	99.900	99.900	99.900	20.448	0.054
53740.04303	99.900	99.900	99.900	99.900	20.888	0.061	99.900	99.900	99.900	99.900	99.900	99.900
