# CSP Optical + NIR data for SN2006D
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.009641	  RA = 12:52:33.84	 DEC = -09:46:30.79
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53751.33112	15.265	0.013	14.754	0.006	14.702	0.006	14.664	0.007	14.639	0.007	14.822	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53752.36057	15.118	0.016	14.606	0.005	14.550	0.005	14.502	0.004	14.473	0.004	14.685	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53753.37128	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.459	0.006	14.395	0.006	14.533	0.007	14.538	0.015
53754.25535	15.017	0.013	14.421	0.006	14.343	0.006	14.317	0.005	14.294	0.005	14.574	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53756.36561	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.565	0.006	14.421	0.007	14.597	0.008	14.532	0.015
53758.36933	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.764	0.005	14.622	0.005	14.850	0.007	14.665	0.014
53760.28859	15.299	0.010	14.406	0.006	14.207	0.006	14.263	0.009	14.203	0.009	14.841	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53761.29549	15.420	0.010	14.475	0.005	14.230	0.005	14.307	0.005	14.225	0.006	14.897	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53762.30101	15.532	0.011	14.562	0.005	14.262	0.006	14.375	0.009	14.284	0.010	14.958	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53763.29609	15.634	0.013	14.652	0.006	14.311	0.006	14.433	0.006	14.339	0.006	15.048	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53764.34084	15.791	0.012	14.761	0.006	14.371	0.006	14.517	0.008	14.435	0.010	15.171	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53765.32480	15.919	0.012	14.864	0.006	14.424	0.006	14.588	0.006	14.515	0.006	15.280	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53767.34671	99.900	99.900	15.084	0.004	14.570	0.004	14.760	0.004	14.685	0.004	15.474	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53771.27543	99.900	99.900	99.900	99.900	99.900	99.900	15.167	0.004	14.907	0.004	15.537	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53772.30865	16.954	0.013	15.730	0.006	14.949	0.004	15.281	0.004	14.933	0.004	15.502	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53773.22236	17.076	0.011	15.842	0.004	15.021	0.004	15.389	0.004	14.967	0.004	15.470	0.005	15.233	0.013	16.121	0.006	14.944	0.005	14.922	0.010
53774.32565	17.236	0.014	15.982	0.006	15.102	0.006	15.519	0.005	14.986	0.006	15.442	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53776.35840	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.993	0.011	16.040	0.026	14.904	0.013	99.900	99.900
53778.37725	17.690	0.019	16.433	0.009	15.401	0.007	15.943	0.006	15.110	0.007	15.375	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53779.39309	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.829	0.016	15.921	0.025	14.892	0.020	99.900	99.900
53781.23803	17.925	0.032	99.900	99.900	15.585	0.017	16.211	0.009	15.253	0.006	15.361	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
