# CSP Optical + NIR data for SN2004gs
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.027498	  RA = 08:38:23.28	 DEC = +17:37:39.72
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53352.33138	18.183	0.043	17.416	0.008	17.258	0.093	17.291	0.010	17.204	0.009	17.397	0.020	99.900	99.900	99.900	99.900	99.900	99.900
53353.30048	18.086	0.014	17.346	0.007	17.241	0.008	17.201	0.006	17.120	0.007	17.378	0.009	99.900	99.900	99.900	99.900	99.900	99.900
53356.32257	18.135	0.016	17.268	0.007	17.099	0.009	17.112	0.007	17.010	0.007	17.402	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53357.26423	18.233	0.014	17.305	0.008	17.077	0.009	17.128	0.007	17.002	0.007	17.414	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53361.25185	18.731	0.019	17.589	0.009	17.155	0.010	17.347	0.009	17.059	0.008	17.567	0.013	99.900	99.900	99.900	99.900	99.900	99.900
53362.25899	18.870	0.025	17.708	0.009	17.200	0.009	17.431	0.009	17.120	0.009	17.651	0.014	17.651	0.014	17.900	0.016	99.900	99.900
53363.28045	18.986	0.030	17.833	0.012	17.265	0.011	17.526	0.009	17.183	0.010	17.731	0.015	17.683	0.015	17.986	0.040	17.667	0.039
53365.24264	19.217	0.075	18.096	0.021	17.395	0.015	17.722	0.016	17.289	0.012	17.836	0.017	99.900	99.900	99.900	99.900	99.900	99.900
53366.26744	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.667	0.015	18.306	0.018	17.812	0.028
53369.26532	99.900	99.900	99.900	99.900	99.900	99.900	18.119	0.108	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53372.24282	20.218	0.091	19.068	0.026	18.004	0.013	18.614	0.017	17.614	0.009	17.868	0.013	99.900	99.900	99.900	99.900	99.900	99.900
53373.27954	20.633	0.136	19.201	0.029	18.071	0.014	18.784	0.018	17.660	0.009	17.865	0.014	99.900	99.900	99.900	99.900	99.900	99.900
53374.25278	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.337	0.013	18.228	0.024	17.557	0.034
53375.25365	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.276	0.022	18.205	0.030	17.530	0.034
