# CSP Optical + NIR data for SN2008ia
# Timestamp:  2011-10-25 15:53:06
# zcmb = 0.022597	  RA = 08:50:35.04	 DEC = -61:16:40.44
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54809.25527	17.547	0.015	16.828	0.008	16.645	0.009	16.661	0.007	16.542	0.009	16.824	0.010	99.900	99.900	99.900	99.900	99.900	99.900
54810.33148	17.483	0.012	16.749	0.009	16.572	0.009	16.598	0.007	16.511	0.009	16.831	0.010	99.900	99.900	99.900	99.900	99.900	99.900
54811.22097	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.605	0.019	16.326	0.041	16.504	0.088
54812.32822	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.747	0.012	16.318	0.083	16.530	0.038
54813.20101	17.449	0.018	16.737	0.009	16.502	0.009	16.624	0.016	16.402	0.007	16.915	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54815.27584	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.034	0.016	16.955	0.022	16.752	0.047
54816.25333	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.070	0.049	16.973	0.032	16.716	0.041
54818.22786	17.896	0.016	16.936	0.009	16.616	0.009	16.726	0.008	16.520	0.009	17.094	0.012	99.900	99.900	99.900	99.900	99.900	99.900
54821.27591	18.222	0.015	17.195	0.009	16.764	0.009	16.932	0.009	16.824	0.021	17.387	0.021	99.900	99.900	99.900	99.900	99.900	99.900
54823.21190	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.512	0.023	18.136	0.083	16.974	0.087
54828.23148	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.323	0.020	18.114	0.099	16.974	0.051
54830.19575	19.636	0.043	18.315	0.013	17.372	0.011	17.803	0.010	17.186	0.009	17.519	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54831.23247	19.710	0.040	18.419	0.015	17.433	0.010	17.931	0.011	17.205	0.010	17.532	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54833.20656	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.823	0.023	17.940	0.114	16.671	0.029
54834.23865	20.205	0.062	18.705	0.021	17.599	0.012	18.240	0.012	17.256	0.009	17.444	0.017	99.900	99.900	99.900	99.900	99.900	99.900
54838.26162	20.534	0.080	19.123	0.024	17.952	0.016	18.683	0.018	17.595	0.029	17.441	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54839.20517	20.592	0.115	19.210	0.030	18.037	0.013	18.752	0.018	17.576	0.012	17.536	0.012	99.900	99.900	99.900	99.900	99.900	99.900
54840.20037	20.448	0.153	19.313	0.035	18.098	0.014	18.956	0.048	17.660	0.011	17.610	0.017	16.613	0.009	17.637	0.034	17.011	0.011
54841.16817	20.651	0.202	19.394	0.044	18.208	0.017	18.998	0.037	17.721	0.014	17.740	0.017	16.693	0.019	17.705	0.045	17.073	0.011
54843.18572	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.819	0.006	17.926	0.011	17.236	0.014
54845.35624	20.675	0.236	19.849	0.069	18.475	0.020	19.436	0.080	17.991	0.016	18.194	0.058	99.900	99.900	99.900	99.900	99.900	99.900
54847.24556	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.080	0.016	18.354	0.070	99.900	99.900
54854.33024	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.492	0.018	18.794	0.075	17.540	0.074
54855.31562	21.127	0.117	19.962	0.044	18.848	0.028	19.449	0.027	18.471	0.019	18.632	0.030	99.900	99.900	99.900	99.900	99.900	99.900
54856.21615	21.334	0.154	19.924	0.047	18.875	0.023	19.515	0.022	18.462	0.018	18.500	0.042	99.900	99.900	99.900	99.900	99.900	99.900
54857.22514	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.588	0.040	19.108	0.091	17.805	0.087
54872.20977	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.532	0.029	20.259	0.110	18.529	0.062
54874.16029	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.693	0.040	20.249	0.218	18.575	0.080
54912.13433	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	19.400	0.108	99.900	99.900	99.900	99.900
