# CSP Optical + NIR data for SN2005eq
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.028351	  RA = 03:08:49.32	 DEC = -07:01:59.70
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53647.33661	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.902	0.018	16.808	0.035	99.900	99.900	99.900	99.900
53648.21448	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.902	0.044	16.815	0.026	17.021	0.028	99.900	99.900
53650.28575	16.936	0.011	16.607	0.008	16.521	0.006	16.487	0.006	16.549	0.006	16.965	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53653.26196	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.221	0.024	16.913	0.024	17.174	0.029	16.505	0.029
53655.26485	17.063	0.013	16.576	0.009	16.463	0.008	16.450	0.006	16.408	0.007	17.032	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53656.23829	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.374	0.019	17.068	0.034	17.313	0.042	99.900	99.900
53658.20000	17.204	0.014	16.651	0.010	16.491	0.008	16.505	0.006	16.442	0.007	17.113	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53659.17348	17.330	0.022	16.679	0.009	16.514	0.009	16.539	0.009	16.468	0.007	17.152	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53660.22579	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.652	0.023	17.272	0.030	17.388	0.061	99.900	99.900
53662.25181	17.518	0.021	16.795	0.009	16.589	0.011	16.647	0.007	16.577	0.008	17.256	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53663.22112	17.598	0.018	16.867	0.009	16.639	0.009	16.690	0.008	16.627	0.009	17.355	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53664.20271	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.772	0.018	17.869	0.043	17.499	0.052	99.900	99.900
53665.19651	17.877	0.016	16.999	0.008	16.736	0.008	16.783	0.007	16.737	0.008	17.471	0.014	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53666.25211	17.978	0.015	17.078	0.007	16.776	0.008	16.849	0.007	16.795	0.009	17.562	0.014	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53668.25969	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.780	0.025	18.273	0.079	17.708	0.071	99.900	99.900
53669.21862	18.340	0.019	17.360	0.008	16.948	0.007	17.069	0.006	16.978	0.007	17.743	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53671.26109	18.633	0.021	17.563	0.011	17.071	0.009	17.255	0.007	17.048	0.008	17.786	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53672.28516	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.575	0.032	18.365	0.099	17.616	0.077	99.900	99.900
53673.26505	18.870	0.022	17.788	0.011	17.167	0.010	17.425	0.009	17.101	0.009	17.791	0.014	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53675.22876	19.197	0.028	17.998	0.013	17.271	0.013	17.597	0.010	17.145	0.010	17.733	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53677.29117	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.278	0.021	18.259	0.093	17.294	0.077	99.900	99.900
53680.25868	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.103	0.028	18.348	0.101	17.257	0.067	99.900	99.900
53682.27586	99.900	99.900	18.648	0.039	17.652	0.042	18.189	0.016	17.287	0.014	17.659	0.031	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53683.22557	19.902	0.047	18.709	0.017	17.693	0.012	18.242	0.011	17.298	0.010	17.629	0.014	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53686.29099	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.922	0.026	17.928	0.057	99.900	99.900	99.900	99.900
53687.24087	20.112	0.086	18.919	0.025	17.868	0.018	18.510	0.019	17.406	0.012	17.600	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53692.21377	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.781	0.014	17.844	0.089	17.350	0.054	99.900	99.900
53694.21653	20.609	0.120	19.348	0.030	18.275	0.016	18.906	0.020	17.823	0.015	17.946	0.017	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53698.16075	20.568	0.101	19.484	0.023	18.469	0.016	19.076	0.015	18.011	0.010	18.142	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53699.19015	20.639	0.064	19.512	0.029	18.526	0.018	19.093	0.015	18.080	0.014	18.255	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53701.19045	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.276	0.022	18.583	0.088	99.900	99.900	99.900	99.900
53705.18002	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.535	0.043	18.646	0.088	99.900	99.900	99.900	99.900
53707.24095	20.795	0.169	19.717	0.031	18.774	0.021	19.265	0.025	18.353	0.018	18.592	0.032	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53710.18726	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.722	0.052	18.847	0.146	99.900	99.900	99.900	99.900
53712.16484	21.008	0.104	19.736	0.031	18.879	0.019	19.378	0.021	18.493	0.013	18.827	0.020	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53721.12859	99.900	99.900	19.780	0.070	19.071	0.038	19.521	0.041	18.764	0.023	19.156	0.033	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53726.18178	99.900	99.900	19.847	0.057	19.260	0.028	19.554	0.020	18.898	0.019	19.337	0.035	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53730.18558	99.900	99.900	19.987	0.031	19.261	0.027	19.639	0.017	19.062	0.022	19.544	0.042	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53737.14940	99.900	99.900	20.095	0.043	19.457	0.031	19.736	0.018	19.192	0.020	19.617	0.043	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53741.11630	99.900	99.900	20.105	0.054	19.524	0.030	19.821	0.028	19.345	0.019	19.756	0.042	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53746.13911	99.900	99.900	20.102	0.076	19.679	0.055	19.897	0.053	19.459	0.031	19.965	0.058	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53751.15038	99.900	99.900	20.109	0.096	19.664	0.071	19.965	0.075	19.665	0.057	20.082	0.075	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
