# CSP Optical + NIR data for SN2007bm
# Timestamp:  2011-10-25 15:53:06
# zcmb = 0.007441	  RA = 11:25:2.40	 DEC = -09:47:53.81
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54217.04868	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.248	0.010	14.102	0.007	14.183	0.016
54220.17953	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.040	0.004	13.910	0.003	99.900	99.900
54223.09235	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.106	0.000	13.726	0.064	99.900	99.900
54224.15884	15.614	0.013	14.658	0.004	14.163	0.005	14.397	0.004	14.001	0.007	14.350	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54227.13997	99.900	99.900	14.721	0.004	14.149	0.006	14.425	0.004	14.002	0.006	14.435	0.006	99.900	99.900	99.900	99.900	99.900	99.900
54228.03084	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.585	0.008	14.299	0.010	14.381	0.011
54229.06696	99.900	99.900	14.813	0.004	14.188	0.004	14.485	0.004	14.022	0.003	14.482	0.005	99.900	99.900	99.900	99.900	99.900	99.900
54231.14957	99.900	99.900	14.959	0.004	14.257	0.006	14.594	0.005	14.128	0.005	14.607	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54233.04947	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.819	0.011	15.083	0.018	14.520	0.011
54235.07968	16.720	0.012	15.326	0.006	14.480	0.008	14.863	0.007	14.395	0.009	14.867	0.008	99.900	99.900	99.900	99.900	99.900	99.900
54237.10238	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.744	0.009	15.556	0.011	14.477	0.017
54239.09785	17.406	0.014	15.814	0.005	14.754	0.004	15.228	0.005	14.588	0.005	14.887	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54241.03724	17.735	0.014	16.064	0.006	14.895	0.006	15.444	0.004	14.638	0.005	14.853	0.006	99.900	99.900	99.900	99.900	99.900	99.900
54244.09735	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.287	0.011	15.346	0.011	14.163	0.009
54249.03689	18.595	0.077	16.912	0.014	15.357	0.006	16.185	0.008	14.862	0.004	14.781	0.004	14.013	0.000	99.900	99.900	99.900	99.900
54254.07700	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.867	0.007	14.887	0.007	14.223	0.010
54255.05748	19.082	0.044	17.331	0.010	15.778	0.005	16.662	0.007	15.264	0.004	15.061	0.005	99.900	99.900	99.900	99.900	99.900	99.900
54259.04623	19.178	0.048	17.523	0.010	16.018	0.006	16.861	0.009	15.531	0.007	15.365	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54277.96906	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.227	0.015	16.795	0.024	15.488	0.008
