# CSP Optical + NIR data for SN2005A
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.018340	  RA = 02:30:43.25	 DEC = -02:56:19.79
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53376.13185	20.120	0.093	18.430	0.013	17.459	0.010	17.987	0.011	16.974	0.009	17.171	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53377.09801	20.064	0.068	18.379	0.013	17.380	0.010	17.945	0.010	16.922	0.008	17.197	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53380.08347	20.098	0.085	18.336	0.016	17.334	0.011	17.893	0.013	16.827	0.010	17.193	0.013	99.900	99.900	99.900	99.900	99.900	99.900
53381.07493	20.137	0.060	18.360	0.014	17.301	0.011	17.898	0.010	16.833	0.009	17.226	0.011	99.900	99.900	99.900	99.900	99.900	99.900
53383.11942	20.294	0.074	18.448	0.015	17.309	0.009	17.901	0.010	16.868	0.009	17.251	0.013	99.900	99.900	99.900	99.900	99.900	99.900
53384.08388	99.900	99.900	99.900	99.900	99.900	99.900	17.906	0.022	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53385.04469	20.475	0.081	18.519	0.015	17.351	0.009	17.965	0.011	16.916	0.007	17.320	0.010	17.035	0.012	16.880	0.023	16.748	0.015
53386.08199	20.703	0.099	18.578	0.015	17.422	0.012	18.014	0.011	16.978	0.013	17.360	0.013	17.100	0.012	17.042	0.011	16.785	0.015
53387.08538	20.435	0.131	18.637	0.024	17.469	0.013	18.074	0.013	17.057	0.009	17.458	0.013	17.103	0.018	17.229	0.011	16.794	0.023
53389.02928	21.115	0.174	18.851	0.025	17.569	0.015	99.900	99.900	17.190	0.013	17.611	0.017	17.145	0.015	17.646	0.018	16.868	0.020
53390.02832	21.138	0.248	18.939	0.030	17.616	0.017	18.351	0.031	17.269	0.010	17.652	0.012	99.900	99.900	99.900	99.900	99.900	99.900
53391.10361	99.900	99.900	19.016	0.037	17.710	0.018	18.351	0.020	17.300	0.010	17.683	0.015	99.900	99.900	99.900	99.900	99.900	99.900
53394.05488	99.900	99.900	19.433	0.052	99.900	99.900	18.669	0.024	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53396.03188	99.900	99.900	19.689	0.050	18.004	0.016	18.799	0.029	17.423	0.011	17.574	0.012	99.900	99.900	99.900	99.900	99.900	99.900
53397.02992	99.900	99.900	19.809	0.051	18.075	0.016	18.846	0.023	17.428	0.009	17.547	0.010	99.900	99.900	99.900	99.900	99.900	99.900
53398.05190	99.900	99.900	19.766	0.046	18.099	0.019	19.007	0.020	17.423	0.012	17.537	0.011	16.630	0.016	17.549	0.016	16.521	0.011
53399.06576	99.900	99.900	19.909	0.032	18.156	0.014	19.044	0.020	17.435	0.009	17.495	0.011	16.533	0.020	17.595	0.013	99.900	99.900
53400.08361	99.900	99.900	19.916	0.032	18.209	0.017	19.226	0.034	17.431	0.010	17.470	0.011	99.900	99.900	99.900	99.900	99.900	99.900
53404.07448	99.900	99.900	20.304	0.028	18.388	0.016	19.484	0.025	17.567	0.009	17.377	0.010	16.166	0.012	17.105	0.026	16.351	0.027
