# CSP Optical + NIR data for SN2004eo
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.014734	  RA = 20:32:54.24	 DEC = +09:55:42.71
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53266.00009	18.515	0.017	17.574	0.017	17.298	0.016	17.405	0.016	17.198	0.016	17.364	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53266.99341	17.889	0.019	17.117	0.017	16.917	0.016	16.990	0.016	16.826	0.016	16.979	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53267.99226	17.381	0.017	16.736	0.017	16.613	0.016	16.630	0.016	16.517	0.016	16.651	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53269.04160	99.900	99.900	16.456	0.017	16.331	0.017	99.900	99.900	99.900	99.900	99.900	99.900	16.459	0.018	16.056	0.007	16.123	0.044	16.117	0.052
53270.03686	99.900	99.900	16.203	0.008	16.115	0.016	99.900	99.900	99.900	99.900	99.900	99.900	16.210	0.017	15.912	0.028	16.041	0.021	15.899	0.012
53270.99156	16.499	0.019	16.018	0.017	15.940	0.016	15.904	0.016	15.844	0.016	16.015	0.017	16.058	0.006	15.757	0.018	15.909	0.009	15.759	0.025
53271.99631	16.339	0.019	15.857	0.017	15.784	0.016	15.758	0.017	15.707	0.016	15.895	0.016	15.962	0.006	15.654	0.013	15.796	0.027	15.648	0.011
53273.00831	16.207	0.019	15.742	0.017	15.670	0.017	15.637	0.017	15.592	0.016	15.796	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53273.98781	16.126	0.020	15.657	0.017	15.578	0.016	15.551	0.016	15.509	0.016	15.751	0.017	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53274.98553	16.128	0.019	15.583	0.017	15.505	0.017	15.498	0.018	15.448	0.017	15.720	0.017	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53276.05834	16.086	0.021	15.538	0.019	15.452	0.017	99.900	99.900	15.391	0.016	15.719	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53276.98285	16.077	0.019	15.501	0.017	15.404	0.016	15.392	0.016	15.372	0.016	15.752	0.016	15.957	0.007	15.584	0.005	15.837	0.018	15.555	0.011
53277.98707	16.093	0.017	15.489	0.017	15.375	0.016	15.352	0.017	15.344	0.016	15.788	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53278.99536	16.124	0.017	15.491	0.017	15.366	0.016	15.341	0.016	15.323	0.016	15.818	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
