# CSP Optical + NIR data for SN2008gp
# Timestamp:  2011-10-25 15:53:06
# zcmb = 0.032824	  RA = 03:23:0.72	 DEC = +01:21:42.80
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54768.24059	99.900	99.900	18.008	0.011	17.860	0.012	99.900	99.900	17.898	0.013	18.117	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54769.31849	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.623	0.069	17.651	0.056	17.557	0.099
54770.23600	99.900	99.900	17.566	0.009	17.449	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54771.27102	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.348	0.017	17.428	0.028	17.628	0.067
54772.27173	17.552	0.012	17.251	0.008	17.151	0.009	17.103	0.007	17.181	0.007	17.406	0.010	99.900	99.900	99.900	99.900	99.900	99.900
54776.21065	17.289	0.010	16.957	0.007	16.874	0.006	16.797	0.006	16.900	0.006	17.279	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54778.29095	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.341	0.016	17.743	0.073	99.900	99.900
54779.25623	17.327	0.013	16.929	0.010	16.806	0.010	16.754	0.009	16.801	0.011	17.353	0.012	99.900	99.900	99.900	99.900	99.900	99.900
54780.24307	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.498	0.020	17.488	0.084	17.535	0.115
54781.23821	17.461	0.015	16.961	0.011	16.823	0.011	16.773	0.011	16.813	0.011	17.408	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54783.22545	17.683	0.021	17.025	0.011	16.862	0.012	16.855	0.011	16.826	0.010	17.412	0.019	99.900	99.900	99.900	99.900	99.900	99.900
54784.23447	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.760	0.028	17.726	0.037	18.025	0.112
54786.32834	99.900	99.900	17.190	0.011	16.926	0.010	16.997	0.008	16.937	0.009	17.547	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54790.22391	18.493	0.018	17.529	0.009	17.139	0.009	17.247	0.009	17.171	0.010	17.898	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54791.24081	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.926	0.020	18.778	0.099	18.020	0.155
54792.17523	99.900	99.900	17.753	0.010	17.254	0.009	17.425	0.009	17.302	0.008	18.029	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54793.19285	99.900	99.900	17.869	0.011	17.324	0.009	99.900	99.900	17.356	0.008	18.013	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54794.23462	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.827	0.038	18.698	0.097	17.905	0.189
54795.22421	99.900	99.900	18.134	0.013	17.461	0.013	99.900	99.900	17.425	0.013	18.057	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54800.22505	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.544	0.051	18.832	0.114	17.892	0.155
54801.26446	20.059	0.048	18.855	0.016	17.844	0.012	18.346	0.009	17.583	0.009	17.939	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54802.21004	20.139	0.045	18.923	0.015	17.908	0.011	18.429	0.010	17.596	0.009	17.944	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54803.28580	99.900	99.900	19.023	0.019	17.960	0.012	18.545	0.011	17.607	0.008	17.875	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54806.21799	20.533	0.084	19.323	0.022	18.180	0.012	18.805	0.013	17.734	0.009	17.883	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54808.22362	20.541	0.088	19.500	0.028	18.292	0.014	18.961	0.017	17.804	0.010	17.912	0.012	99.900	99.900	99.900	99.900	99.900	99.900
54809.18593	99.900	99.900	19.534	0.041	18.388	0.019	19.035	0.028	17.867	0.011	17.922	0.013	99.900	99.900	99.900	99.900	99.900	99.900
54810.19611	20.553	0.192	19.572	0.068	18.404	0.024	19.123	0.034	17.929	0.015	17.980	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54812.09140	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.110	0.015	18.216	0.079	17.726	0.101
54813.11720	20.805	0.204	19.906	0.084	18.593	0.030	19.317	0.041	18.101	0.015	18.105	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54822.14220	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.611	0.022	19.087	0.123	18.160	0.123
54844.01149	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	20.306	0.095	99.900	99.900
