# CSP Optical + NIR data for SN2007ca
# Timestamp:  2011-10-25 15:53:06
# zcmb = 0.015070	  RA = 13:31:5.76	 DEC = -15:06:6.48
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
54217.12516	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.276	0.012	16.122	0.017	16.066	0.023	99.900	99.900
54218.16877	17.648	0.020	16.867	0.008	16.603	0.008	16.695	0.006	16.448	0.006	16.511	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54224.20178	16.936	0.025	16.214	0.011	15.916	0.007	16.067	0.008	15.834	0.009	16.082	0.014	15.845	0.009	15.572	0.006	15.718	0.013	20.325	0.101
54227.21575	99.900	99.900	16.162	0.007	15.847	0.007	15.978	0.005	15.746	0.005	16.133	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54228.09966	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.096	0.012	15.756	0.013	15.946	0.037	99.900	99.900
54229.17624	99.900	99.900	16.191	0.006	15.857	0.006	16.000	0.004	15.739	0.004	16.215	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54231.22935	99.900	99.900	16.272	0.007	15.882	0.006	16.067	0.005	15.786	0.004	16.294	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54232.18573	99.900	99.900	16.316	0.006	15.911	0.006	16.100	0.004	15.807	0.004	16.325	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54233.12597	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.573	0.026	16.209	0.021	15.992	0.057	99.900	99.900
54235.15065	17.489	0.016	16.469	0.009	16.023	0.009	16.232	0.007	15.942	0.007	16.482	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54237.21793	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.677	0.055	16.840	0.140	99.900	99.900	99.900	99.900
54238.11506	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.840	0.019	16.942	0.035	16.173	0.035	99.900	99.900
54239.15580	17.935	0.021	16.772	0.007	16.218	0.006	16.456	0.005	16.219	0.006	16.845	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54243.18800	18.423	0.023	17.174	0.008	16.450	0.006	16.751	0.005	16.462	0.005	17.047	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54246.13015	18.693	0.037	17.443	0.010	16.595	0.008	16.974	0.006	16.532	0.005	17.025	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54254.19183	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.062	0.008	17.035	0.015	15.867	0.014	20.771	0.061
54255.18582	19.667	0.097	18.340	0.022	17.090	0.008	17.754	0.011	16.681	0.006	16.808	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54258.15698	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.843	0.016	16.861	0.027	15.860	0.028	99.900	99.900
54259.10890	19.964	0.108	18.604	0.023	17.316	0.010	18.072	0.009	16.825	0.006	16.816	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54274.14933	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.343	0.028	99.900	99.900	99.900	99.900	99.900	99.900
54275.14477	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.396	0.023	99.900	99.900	99.900	99.900	99.900	99.900
