# CSP Optical + NIR data for SN2005bg
# Timestamp:  2011-10-25 15:53:07
# zcmb = 0.024159	  RA = 12:17:17.28	 DEC = +16:22:17.76
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53471.13923	99.900	99.900	15.986	0.005	15.901	0.006	99.900	99.900	99.900	99.900	99.900	99.900
53472.14799	16.579	0.008	16.018	0.006	15.919	0.006	15.938	0.005	16.009	0.009	16.695	0.013
53473.13338	16.673	0.008	16.053	0.006	15.951	0.007	15.962	0.006	15.943	0.006	16.690	0.011
53474.12585	16.757	0.009	16.100	0.006	15.952	0.007	16.022	0.006	15.998	0.006	16.757	0.013
53475.16103	16.835	0.010	16.151	0.006	15.999	0.007	16.076	0.007	16.042	0.006	16.797	0.012
53476.15131	16.958	0.012	16.198	0.008	16.019	0.009	16.083	0.010	16.057	0.009	16.798	0.015
53477.16807	17.042	0.013	16.265	0.007	16.109	0.010	16.091	0.009	16.199	0.013	16.939	0.015
53478.19573	17.145	0.011	16.335	0.007	16.144	0.008	16.244	0.009	16.172	0.009	17.030	0.014
53480.17941	17.298	0.015	16.497	0.008	16.231	0.009	16.324	0.008	16.337	0.009	17.118	0.013
53481.13916	17.374	0.021	16.575	0.008	16.336	0.008	16.396	0.007	16.459	0.008	17.300	0.015
53483.15863	17.662	0.024	16.792	0.008	16.460	0.010	16.567	0.009	16.589	0.009	17.437	0.016
53484.18339	99.900	99.900	16.894	0.012	16.506	0.011	16.643	0.022	16.630	0.018	17.484	0.023
53489.12219	18.528	0.033	17.433	0.009	16.768	0.008	17.123	0.008	16.770	0.007	17.487	0.017
53490.13706	18.515	0.048	17.585	0.009	16.813	0.010	17.214	0.009	16.757	0.009	17.365	0.015
53491.10688	18.795	0.031	17.641	0.014	16.872	0.012	17.248	0.012	16.740	0.011	17.300	0.016
53512.09042	99.900	99.900	18.932	0.035	18.038	0.020	18.774	0.027	17.675	0.011	17.881	0.016
