# CSP Optical + NIR data for SN2008R
# Timestamp:  2011-10-25 15:53:06
# zcmb = 0.012887	  RA = 03:03:53.71	 DEC = -11:59:39.48
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54493.11760	16.226	0.016	15.559	0.006	15.447	0.006	15.425	0.005	15.384	0.006	15.706	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54494.07097	16.277	0.014	15.531	0.007	15.410	0.009	15.392	0.006	15.349	0.007	15.724	0.011	99.900	99.900	99.900	99.900	99.900	99.900
54495.08398	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.697	0.003	15.525	0.005	15.613	0.011
54497.08145	16.567	0.016	15.653	0.006	15.383	0.006	15.434	0.004	15.310	0.006	15.773	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54498.10768	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.790	0.008	15.819	0.034	99.900	99.900
54499.06953	16.848	0.017	15.842	0.006	15.436	0.006	15.564	0.004	15.381	0.004	15.871	0.006	99.900	99.900	99.900	99.900	99.900	99.900
54503.07204	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.977	0.010	16.533	0.014	15.907	0.023
54508.06440	18.371	0.024	17.185	0.009	16.148	0.007	16.684	0.005	15.892	0.005	16.122	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54512.04042	18.885	0.069	17.686	0.014	16.491	0.008	17.182	0.007	16.090	0.005	16.124	0.006	99.900	99.900	99.900	99.900	99.900	99.900
54515.06499	99.900	99.900	99.900	99.900	99.900	99.900	17.474	0.011	16.366	0.008	16.304	0.011	99.900	99.900	99.900	99.900	99.900	99.900
54516.05804	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.495	0.006	16.432	0.016	99.900	99.900
54517.06542	99.900	99.900	18.118	0.028	16.997	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54519.04794	19.391	0.097	18.258	0.017	17.139	0.010	17.812	0.016	16.753	0.008	16.691	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54520.01085	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.796	0.008	16.947	0.028	16.352	0.049
54521.02312	19.424	0.042	18.359	0.014	17.265	0.009	17.905	0.009	16.898	0.006	16.852	0.008	99.900	99.900	99.900	99.900	99.900	99.900
54522.01175	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.932	0.006	17.136	0.035	16.452	0.084
54523.00785	19.682	0.066	18.470	0.013	17.374	0.009	17.997	0.014	17.013	0.008	17.001	0.008	99.900	99.900	99.900	99.900	99.900	99.900
54523.99834	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.066	0.010	17.390	0.057	16.659	0.046
54527.00207	19.644	0.061	18.600	0.016	17.533	0.011	18.141	0.021	17.219	0.009	17.207	0.010	99.900	99.900	99.900	99.900	99.900	99.900
54530.02073	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.434	0.015	99.900	99.900	99.900	99.900
54532.01340	99.900	99.900	99.900	99.900	17.719	0.011	99.900	99.900	17.406	0.008	17.470	0.011	99.900	99.900	99.900	99.900	99.900	99.900
