# CSP Optical + NIR data for SN2005lu
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.031293	  RA = 02:36:3.72	 DEC = -17:15:50.04
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53720.11810	18.683	0.036	17.706	0.015	17.349	0.012	17.463	0.011	17.253	0.012	17.887	0.022
53721.09671	18.822	0.039	17.773	0.014	17.398	0.010	17.518	0.011	17.309	0.014	17.911	0.017
53726.15171	19.529	0.058	18.232	0.017	17.676	0.012	17.886	0.013	17.595	0.011	18.289	0.018
53728.16124	19.602	0.058	18.433	0.018	17.806	0.019	18.059	0.016	17.684	0.016	18.384	0.020
53737.11845	20.526	0.147	19.329	0.034	18.213	0.021	18.833	0.029	17.804	0.016	18.149	0.019
53738.12155	99.900	99.900	19.398	0.027	18.269	0.018	18.892	0.016	17.809	0.013	18.131	0.017
53745.07000	99.900	99.900	20.008	0.058	18.738	0.030	19.450	0.040	18.090	0.014	18.146	0.018
53748.11838	99.900	99.900	20.141	0.092	18.902	0.031	19.592	0.044	18.332	0.016	18.333	0.019
53752.10996	99.900	99.900	20.187	0.056	19.110	0.028	19.710	0.033	18.580	0.017	18.613	0.020
53761.08558	99.900	99.900	20.464	0.042	19.435	0.022	19.929	0.025	18.886	0.015	19.074	0.020
53763.03199	99.900	99.900	20.519	0.049	19.484	0.031	99.900	99.900	18.944	0.019	19.173	0.023
53765.02860	99.900	99.900	20.518	0.044	19.579	0.034	99.900	99.900	19.024	0.028	19.217	0.022
53771.02839	99.900	99.900	20.644	0.075	19.764	0.039	99.900	99.900	19.214	0.025	19.489	0.039
53774.02488	99.900	99.900	20.661	0.120	19.813	0.047	99.900	99.900	19.308	0.026	19.606	0.052
53783.01667	99.900	99.900	20.691	0.071	20.044	0.059	99.900	99.900	19.747	0.055	20.018	0.059
53788.02852	99.900	99.900	20.850	0.055	20.095	0.044	99.900	99.900	99.900	99.900	99.900	99.900
53799.00356	99.900	99.900	20.997	0.096	20.454	0.067	99.900	99.900	20.277	0.094	20.450	0.102
