# CSP Optical + NIR data for SN2006gt
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.043641	  RA = 00:56:17.30	 DEC = -01:37:45.98
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54001.15587	19.048	0.036	18.420	0.014	18.221	0.013	18.233	0.011	18.224	0.015	18.355	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54002.16774	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.028	0.039	17.909	0.065	18.154	0.125
54003.17336	19.278	0.046	18.389	0.014	18.110	0.012	18.171	0.011	18.121	0.013	18.355	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54006.18031	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.235	0.056	18.186	0.075	18.640	0.210
54007.19736	19.881	0.059	18.642	0.015	18.149	0.013	18.332	0.009	18.108	0.009	18.463	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54008.16241	19.932	0.053	18.764	0.018	18.194	0.013	18.428	0.013	18.126	0.009	18.515	0.016	99.900	99.900	99.900	99.900	99.900	99.900
54010.24395	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.310	0.060	99.900	99.900	99.900	99.900
54011.22971	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.340	0.049	18.639	0.101	99.900	99.900
54013.19139	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.453	0.033	18.917	0.037	18.626	0.058
54017.25207	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.407	0.037	19.083	0.078	18.656	0.147
54018.22938	21.423	0.373	20.389	0.098	19.158	0.028	19.786	0.040	18.733	0.018	18.840	0.025	99.900	99.900	99.900	99.900	99.900	99.900
54024.15590	99.900	99.900	20.850	0.018	19.625	0.012	20.328	0.012	19.151	0.008	19.043	0.012	99.900	99.900	99.900	99.900	99.900	99.900
54027.16255	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.322	0.057	18.888	0.171	99.900	99.900
54028.17304	99.900	99.900	21.091	0.046	19.866	0.023	20.600	0.030	19.444	0.022	19.360	0.027	99.900	99.900	99.900	99.900	99.900	99.900
54036.14862	99.900	99.900	21.220	0.059	20.313	0.038	20.911	0.046	19.942	0.028	20.001	0.042	99.900	99.900	99.900	99.900	99.900	99.900
54038.05352	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	19.033	0.049	20.224	0.117	19.756	0.124
54039.12673	99.900	99.900	99.900	99.900	20.494	0.076	21.066	0.085	20.098	0.040	20.033	0.040	99.900	99.900	99.900	99.900	99.900	99.900
54040.10827	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	19.136	0.043	20.574	0.142	19.725	0.190
54046.11194	99.900	99.900	21.526	0.237	20.534	0.132	21.326	0.169	20.299	0.063	20.447	0.101	99.900	99.900	99.900	99.900	99.900	99.900
54048.12634	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	19.654	0.058	99.900	99.900	99.900	99.900
54052.12559	99.900	99.900	21.702	0.082	20.761	0.051	21.418	0.047	20.513	0.041	20.655	0.053	99.900	99.900	99.900	99.900	99.900	99.900
54056.14284	99.900	99.900	21.576	0.088	20.786	0.075	99.900	99.900	20.759	0.061	20.723	0.110	99.900	99.900	99.900	99.900	99.900	99.900
54066.06189	99.900	99.900	21.876	0.116	21.043	0.073	21.741	0.093	21.032	0.093	21.270	0.098	99.900	99.900	99.900	99.900	99.900	99.900
