# CSP Optical + NIR data for SN2005bo
# Timestamp:  2011-10-25 15:53:08
# zcmb = 0.015013	  RA = 12:49:41.04	 DEC = -11:05:47.40
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53478.24189	16.532	0.010	15.850	0.011	15.585	0.012	15.686	0.009	15.458	0.009	15.831	0.012
53479.21956	16.581	0.013	15.841	0.011	15.585	0.012	15.667	0.010	15.436	0.012	15.853	0.016
53480.22024	16.640	0.011	15.871	0.010	15.551	0.014	15.688	0.013	15.442	0.012	15.904	0.015
53481.18402	16.721	0.012	15.919	0.010	15.584	0.011	15.701	0.010	15.430	0.011	15.930	0.013
53484.23087	17.024	0.030	16.084	0.025	15.677	0.021	15.839	0.014	15.517	0.012	16.060	0.020
53487.22121	99.900	99.900	99.900	99.900	15.809	0.013	99.900	99.900	99.900	99.900	99.900	99.900
53489.20818	17.752	0.017	16.586	0.010	15.956	0.010	16.236	0.009	15.910	0.009	16.461	0.010
53490.19549	17.894	0.015	16.705	0.012	16.027	0.012	16.328	0.009	15.973	0.011	16.511	0.012
53491.19970	18.040	0.017	16.829	0.011	16.100	0.015	16.419	0.011	16.016	0.010	16.509	0.012
53512.25308	99.900	99.900	18.618	0.143	17.483	0.062	18.171	0.079	17.003	0.023	16.884	0.019
