# CSP Optical + NIR data for SN2006hb
# Timestamp:  2011-10-25 15:53:09
# zcmb = 0.015337	  RA = 05:02:1.27	 DEC = -21:07:55.20
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
54006.36087	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.081	0.011	16.075	0.019	16.146	0.049
54009.29075	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.230	0.013	16.640	0.026	16.255	0.065
54011.38546	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.250	0.012	16.857	0.038	99.900	99.900
54013.30649	17.839	0.022	16.650	0.007	15.946	0.005	16.260	0.004	15.911	0.005	16.401	0.007	99.900	99.900	99.900	99.900	99.900	99.900
54014.34893	99.900	99.900	16.800	0.008	16.007	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54015.23370	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.125	0.025	17.026	0.165	16.166	0.130
54017.35022	18.399	0.033	17.247	0.012	16.294	0.011	16.798	0.008	16.064	0.012	16.322	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54018.34435	18.592	0.036	17.366	0.010	16.373	0.007	16.939	0.007	16.112	0.008	16.356	0.011	99.900	99.900	99.900	99.900	99.900	99.900
54020.37258	99.900	99.900	17.612	0.009	16.556	0.009	99.900	99.900	16.205	0.007	16.355	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54021.31490	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.841	0.012	16.871	0.032	16.069	0.021
54025.32801	19.223	0.038	18.056	0.009	16.973	0.008	17.634	0.007	16.567	0.006	16.533	0.008	99.900	99.900	99.900	99.900	99.900	99.900
54027.36610	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	15.858	0.011	16.851	0.033	16.352	0.034
54029.31922	19.476	0.043	18.309	0.012	17.283	0.009	17.918	0.008	16.930	0.008	16.919	0.009	99.900	99.900	99.900	99.900	99.900	99.900
54038.33992	19.802	0.067	18.665	0.013	17.692	0.010	18.283	0.009	17.422	0.009	17.481	0.010	99.900	99.900	99.900	99.900	99.900	99.900
54040.29174	19.776	0.058	99.900	99.900	99.900	99.900	18.333	0.013	17.494	0.012	17.585	0.015	99.900	99.900	99.900	99.900	99.900	99.900
54041.27339	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.803	0.016	18.329	0.095	17.252	0.069
54042.28892	19.873	0.079	18.741	0.018	17.837	0.013	18.391	0.011	17.574	0.010	17.667	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54043.24054	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.901	0.017	18.401	0.132	17.267	0.099
54049.30913	20.116	0.108	18.926	0.018	18.010	0.015	18.533	0.013	17.839	0.011	17.967	0.014	99.900	99.900	99.900	99.900	99.900	99.900
54057.29547	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.615	0.037	19.425	0.325	18.253	0.180
54063.30498	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.930	0.036	19.638	0.311	18.337	0.188
54068.28560	20.612	0.086	19.272	0.018	18.534	0.016	18.910	0.011	18.534	0.016	18.685	0.018	99.900	99.900	99.900	99.900	99.900	99.900
54076.23046	99.900	99.900	19.439	0.047	18.723	0.024	19.039	0.022	18.800	0.018	18.910	0.026	99.900	99.900	99.900	99.900	99.900	99.900
54085.19623	99.900	99.900	19.585	0.023	18.975	0.019	19.216	0.013	19.154	0.019	19.193	0.024	99.900	99.900	99.900	99.900	99.900	99.900
54091.26308	99.900	99.900	19.645	0.025	19.106	0.022	19.301	0.014	19.374	0.022	19.417	0.032	99.900	99.900	99.900	99.900	99.900	99.900
54096.18247	99.900	99.900	19.728	0.028	19.238	0.022	19.413	0.017	19.555	0.018	19.510	0.030	99.900	99.900	99.900	99.900	99.900	99.900
54099.16328	99.900	99.900	19.788	0.055	19.389	0.068	19.437	0.028	19.668	0.034	19.615	0.043	99.900	99.900	99.900	99.900	99.900	99.900
54104.24370	99.900	99.900	19.727	0.091	19.331	0.071	19.535	0.070	19.789	0.067	19.700	0.071	99.900	99.900	99.900	99.900	99.900	99.900
54108.20787	99.900	99.900	19.919	0.033	19.539	0.034	19.607	0.022	19.996	0.040	19.842	0.042	99.900	99.900	99.900	99.900	99.900	99.900
54119.14740	99.900	99.900	20.141	0.023	19.778	0.032	19.837	0.015	20.307	0.039	20.066	0.057	99.900	99.900	99.900	99.900	99.900	99.900
54121.14554	99.900	99.900	20.197	0.027	19.817	0.034	19.900	0.018	20.322	0.035	20.208	0.065	99.900	99.900	99.900	99.900	99.900	99.900
54125.10250	99.900	99.900	20.303	0.028	19.916	0.038	19.938	0.019	20.459	0.047	20.201	0.052	99.900	99.900	99.900	99.900	99.900	99.900
54131.17299	99.900	99.900	99.900	99.900	99.900	99.900	20.032	0.037	20.652	0.082	20.399	0.074	99.900	99.900	99.900	99.900	99.900	99.900
54133.12152	99.900	99.900	20.440	0.133	19.968	0.105	20.027	0.059	20.568	0.111	20.278	0.103	99.900	99.900	99.900	99.900	99.900	99.900
54136.14716	99.900	99.900	20.351	0.064	19.955	0.062	20.138	0.047	20.637	0.080	20.448	0.086	99.900	99.900	99.900	99.900	99.900	99.900
54143.08069	99.900	99.900	20.615	0.033	20.245	0.044	20.275	0.020	20.938	0.068	20.551	0.063	99.900	99.900	99.900	99.900	99.900	99.900
