# CSP Optical + NIR data for SN2005mc
# Timestamp:  2011-10-25 15:53:08
# zcmb = 0.026006	  RA = 08:27:6.24	 DEC = +21:38:45.60
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53736.27710	18.588	0.033	17.459	0.010	17.095	0.010	17.243	0.008	16.935	0.007	17.330	0.009
53737.25328	18.731	0.034	17.540	0.011	17.110	0.013	17.284	0.012	16.886	0.020	17.365	0.016
53738.23890	18.825	0.033	17.636	0.011	17.152	0.010	17.353	0.009	16.967	0.009	17.383	0.011
53740.28265	19.162	0.044	17.876	0.012	17.231	0.012	17.543	0.010	17.038	0.012	17.577	0.013
53741.21161	19.268	0.059	99.900	99.900	17.287	0.010	17.661	0.007	17.119	0.008	17.625	0.012
53746.23622	99.900	99.900	18.727	0.027	17.704	0.013	18.305	0.014	17.385	0.012	17.747	0.013
53747.24677	20.027	0.251	18.880	0.042	17.820	0.016	18.420	0.025	17.460	0.013	17.686	0.020
53752.24164	99.900	99.900	19.501	0.072	18.192	0.021	19.015	0.034	17.674	0.014	17.727	0.014
53755.22343	99.900	99.900	19.749	0.060	18.484	0.019	19.311	0.030	17.960	0.013	17.869	0.013
53760.15740	21.372	0.272	20.118	0.048	18.913	0.024	19.657	0.028	18.411	0.016	18.413	0.020
53762.17687	99.900	99.900	20.224	0.049	18.975	0.024	19.716	0.029	18.531	0.018	18.530	0.019
53763.13367	21.968	0.532	20.250	0.057	19.051	0.030	19.763	0.037	18.508	0.029	18.577	0.024
53764.18159	99.900	99.900	20.291	0.051	19.072	0.030	19.793	0.031	18.570	0.023	18.687	0.022
53765.13272	99.900	99.900	20.227	0.045	19.129	0.027	19.851	0.036	18.645	0.023	18.702	0.020
53768.16284	99.900	99.900	20.421	0.045	19.183	0.025	19.911	0.026	18.744	0.017	18.850	0.018
53771.11895	99.900	99.900	20.454	0.036	19.355	0.022	19.978	0.035	18.842	0.025	18.999	0.019
53773.10487	99.900	99.900	99.900	99.900	19.475	0.035	20.095	0.040	18.989	0.018	19.131	0.030
