# CSP Optical + NIR data for SN2006X
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.006322	  RA = 12:22:54.00	 DEC = +15:48:33.12
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53775.17381	18.509	0.041	16.690	0.007	15.487	0.005	16.142	0.004	14.796	0.004	14.924	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53776.32836	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.510	0.008	13.306	0.009	13.286	0.007	99.900	99.900
53777.33277	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.355	0.007	13.143	0.008	13.177	0.009	99.900	99.900
53778.35142	17.777	0.032	15.895	0.007	14.796	0.006	15.399	0.006	14.194	0.009	14.174	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53779.34530	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.175	0.010	12.925	0.012	13.038	0.009	99.900	99.900
53780.36904	99.900	99.900	15.598	0.009	14.514	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53782.33536	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.145	0.012	12.850	0.010	12.983	0.007	99.900	99.900
53783.21597	17.417	0.030	15.396	0.007	14.263	0.006	14.892	0.005	13.773	0.005	13.835	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53784.32293	17.433	0.024	15.366	0.007	14.207	0.006	14.851	0.005	13.737	0.006	13.820	0.008	13.268	0.011	12.898	0.012	13.053	0.016	12.791	0.009
53785.29983	17.446	0.023	15.352	0.008	14.171	0.008	14.818	0.006	13.694	0.007	13.852	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53786.32515	17.471	0.016	15.349	0.006	14.138	0.006	14.800	0.006	13.667	0.006	13.879	0.006	13.415	0.024	13.004	0.024	13.161	0.003	12.819	0.007
53787.33161	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.527	0.018	13.096	0.006	13.174	0.004	12.844	0.015
53788.31403	17.540	0.015	15.406	0.007	14.111	0.006	14.806	0.006	13.641	0.006	13.920	0.007	13.589	0.012	13.192	0.019	13.220	0.007	12.844	0.008
53789.30710	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.619	0.012	13.231	0.010	13.229	0.012	99.900	99.900
53790.29216	17.702	0.015	15.495	0.007	14.113	0.006	14.843	0.006	13.681	0.006	13.963	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53795.27573	18.097	0.018	15.891	0.006	14.326	0.004	15.086	0.004	13.969	0.006	14.314	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53796.32049	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.920	0.010	14.359	0.014	13.404	0.010	99.900	99.900
53797.30947	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.906	0.013	14.503	0.017	13.411	0.012	99.900	99.900
53798.28722	18.422	0.021	16.212	0.007	14.544	0.006	15.312	0.006	14.173	0.007	14.496	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53799.28665	18.591	0.025	16.308	0.006	14.609	0.004	15.390	0.006	14.201	0.006	14.501	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53800.32379	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.775	0.010	14.551	0.014	13.301	0.011	99.900	99.900
53802.27760	18.978	0.030	16.636	0.008	14.776	0.006	15.620	0.006	14.269	0.006	14.438	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53803.29292	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.545	0.015	14.441	0.014	13.194	0.013	99.900	99.900
53804.26542	19.204	0.040	16.837	0.008	14.863	0.006	15.792	0.006	14.286	0.006	14.353	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53805.22380	19.322	0.057	16.925	0.011	14.911	0.006	15.857	0.007	14.293	0.006	14.325	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53807.25284	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.256	0.008	14.256	0.013	13.048	0.007	99.900	99.900
53808.29833	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.183	0.010	14.207	0.013	13.002	0.008	99.900	99.900
53809.22721	19.633	0.175	17.249	0.023	15.094	0.008	16.170	0.009	14.335	0.006	14.217	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53810.26328	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.018	0.009	14.044	0.014	12.972	0.009	99.900	99.900
53813.24889	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	12.813	0.009	13.794	0.013	12.982	0.009	99.900	99.900
53815.21456	20.195	0.076	17.723	0.014	15.481	0.007	16.718	0.008	14.641	0.006	14.313	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53817.32126	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	12.852	0.014	13.868	0.011	13.158	0.009	99.900	99.900
53818.27699	20.377	0.083	17.894	0.015	15.712	0.007	16.932	0.008	14.901	0.005	14.547	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53819.24862	20.524	0.049	17.960	0.013	15.777	0.008	16.987	0.008	14.968	0.006	14.626	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53820.23367	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.052	0.012	14.125	0.010	13.397	0.012	99.900	99.900
53824.23424	20.756	0.124	18.099	0.013	15.981	0.006	17.147	0.006	15.220	0.005	14.921	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53826.26611	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.403	0.009	14.678	0.014	13.677	0.009	99.900	99.900
53829.22952	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.569	0.010	14.883	0.013	13.817	0.011	99.900	99.900
53830.23441	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.630	0.011	14.995	0.021	13.868	0.013	99.900	99.900
53831.19471	20.782	0.079	18.181	0.014	16.206	0.009	17.291	0.009	15.472	0.007	15.238	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53832.26518	20.721	0.104	18.207	0.013	16.235	0.007	17.311	0.007	15.524	0.005	15.279	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53833.24633	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.768	0.032	15.190	0.052	14.032	0.011	14.026	0.010
53835.15331	20.960	0.184	18.237	0.016	16.319	0.007	17.359	0.008	15.623	0.006	15.386	0.006	13.890	0.027	15.356	0.006	14.101	0.031	14.082	0.023
53838.18567	99.900	99.900	18.260	0.041	16.411	0.008	17.406	0.014	15.735	0.005	15.499	0.005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53839.17198	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.136	0.012	15.575	0.030	14.222	0.014	99.900	99.900
53841.21670	21.396	0.406	18.335	0.022	16.496	0.009	17.443	0.009	15.824	0.006	15.624	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53843.20317	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.367	0.024	15.922	0.010	14.477	0.016	14.425	0.010
53845.14735	99.900	99.900	18.296	0.014	16.560	0.007	17.497	0.009	15.945	0.006	15.741	0.006	14.476	0.031	16.054	0.008	14.573	0.006	14.479	0.029
53846.17615	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.556	0.005	16.099	0.008	14.591	0.005	14.537	0.011
53848.20768	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.639	0.016	16.122	0.053	14.642	0.020	99.900	99.900
53850.15566	99.900	99.900	18.360	0.014	16.704	0.006	17.581	0.007	16.119	0.008	15.945	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
