# CSP Optical + NIR data for SN2005ag
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.080020	  RA = 14:56:43.68	 DEC = +09:19:42.49
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53412.31419	18.568	0.010	18.508	0.017	18.499	0.015	18.560	0.018	18.956	0.032	99.900	99.900	99.900	99.900	99.900	99.900
53413.31425	18.539	0.014	18.480	0.016	18.439	0.025	18.476	0.018	18.955	0.027	99.900	99.900	99.900	99.900	99.900	99.900
53414.35346	18.580	0.009	18.488	0.011	18.486	0.009	18.489	0.011	18.955	0.021	99.900	99.900	99.900	99.900	99.900	99.900
53415.34631	18.577	0.012	18.491	0.013	18.479	0.009	18.489	0.011	18.974	0.019	99.900	99.900	99.900	99.900	99.900	99.900
53416.34252	18.596	0.009	18.510	0.011	18.524	0.010	18.476	0.011	18.985	0.021	99.900	99.900	99.900	99.900	99.900	99.900
53417.33700	18.638	0.011	18.514	0.013	18.542	0.009	18.484	0.010	19.004	0.019	99.900	99.900	99.900	99.900	99.900	99.900
53418.35192	18.705	0.011	18.526	0.013	18.571	0.009	18.490	0.011	19.023	0.021	19.323	0.049	19.601	0.090	19.201	0.055
53419.35082	18.758	0.011	18.568	0.013	18.611	0.009	18.537	0.012	19.053	0.020	99.900	99.900	99.900	99.900	99.900	99.900
53420.37684	18.725	0.036	18.600	0.033	18.670	0.011	18.534	0.022	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53421.36300	18.865	0.015	18.634	0.014	18.729	0.011	18.590	0.013	19.132	0.030	99.900	99.900	99.900	99.900	99.900	99.900
53422.30781	18.918	0.014	18.653	0.015	18.759	0.023	18.607	0.015	19.210	0.036	19.437	0.074	20.081	0.101	19.425	0.256
53423.29182	99.900	99.900	99.900	99.900	18.805	0.042	18.763	0.076	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
