# CSP Optical + NIR data for SN2005M
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.022972	  RA = 09:37:32.40	 DEC = +23:12:2.88
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53396.27913	16.897	0.024	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53397.20395	16.780	0.006	16.479	0.013	16.495	0.008	16.410	0.004	16.501	0.008	16.803	0.030	16.697	0.013	16.605	0.015	16.730	0.021	16.396	0.049
53398.20613	16.645	0.006	16.362	0.009	16.352	0.008	16.278	0.003	16.422	0.006	16.705	0.007	16.627	0.018	16.591	0.014	16.727	0.011	16.430	0.031
53399.18601	16.554	0.009	16.254	0.008	16.263	0.007	16.185	0.007	16.313	0.009	16.616	0.009	16.611	0.075	16.379	0.059	99.900	99.900	99.900	99.900
53400.19425	16.481	0.008	16.180	0.006	16.181	0.006	16.099	0.005	16.254	0.004	16.567	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53401.17720	99.900	99.900	16.130	0.006	16.131	0.006	16.057	0.004	16.178	0.004	16.509	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53402.17183	16.379	0.008	16.088	0.008	16.089	0.006	16.002	0.004	16.143	0.004	16.509	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53403.21720	16.358	0.008	16.037	0.007	16.050	0.006	15.945	0.006	16.112	0.006	16.514	0.004	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53404.20995	16.354	0.011	16.024	0.007	16.028	0.007	15.931	0.006	16.075	0.006	16.540	0.008	16.581	0.014	16.457	0.011	16.713	0.009	16.410	0.022
53405.23741	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	16.529	0.073	16.354	0.049	16.751	0.096	99.900	99.900
53406.21740	16.411	0.014	16.013	0.009	15.991	0.009	15.906	0.008	16.052	0.008	16.601	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53407.26110	16.436	0.014	16.041	0.008	16.012	0.009	15.938	0.008	16.039	0.008	16.622	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53408.22223	16.500	0.015	16.061	0.009	16.020	0.009	15.952	0.007	16.032	0.008	16.651	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53409.22179	16.613	0.015	16.094	0.008	16.029	0.008	15.975	0.008	16.047	0.007	16.660	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53410.23745	16.680	0.017	16.135	0.009	16.039	0.008	15.997	0.006	16.034	0.006	16.682	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53411.22331	16.741	0.017	16.177	0.008	16.060	0.008	16.034	0.006	16.060	0.008	16.723	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53412.21214	16.870	0.019	16.242	0.008	16.076	0.009	16.081	0.006	16.082	0.007	16.747	0.015	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53413.16822	16.967	0.020	16.271	0.009	16.120	0.009	16.132	0.009	16.115	0.009	16.777	0.012	17.167	0.117	17.331	0.123	99.900	99.900	99.900	99.900
53414.16681	17.060	0.017	16.331	0.009	16.151	0.009	16.175	0.007	16.146	0.007	16.857	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53415.22145	17.194	0.020	16.409	0.009	16.186	0.009	16.213	0.008	16.199	0.009	16.891	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53416.15224	17.294	0.021	16.479	0.009	16.236	0.009	16.266	0.009	16.241	0.007	16.971	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53417.20348	17.418	0.015	16.570	0.010	16.273	0.009	16.340	0.008	16.300	0.008	17.027	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
