# CSP Optical + NIR data for SN2005bl
# Timestamp:  2011-10-25 15:53:07
# zcmb = 0.025112	  RA = 12:04:12.24	 DEC = +20:24:24.84
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-
53476.08468	20.411	0.042	19.359	0.016	18.917	0.015	18.984	0.073	18.877	0.011	18.870	0.028
53477.10752	20.212	0.044	19.140	0.017	18.664	0.013	18.748	0.074	18.619	0.012	18.635	0.014
53478.13303	20.041	0.069	18.954	0.017	18.444	0.016	18.550	0.072	18.389	0.011	18.376	0.014
53479.12057	99.900	99.900	18.822	0.025	18.298	0.019	18.402	0.076	18.230	0.023	18.213	0.028
53480.12604	20.009	0.087	18.768	0.020	18.142	0.014	18.302	0.072	18.027	0.010	18.078	0.014
53481.08264	19.992	0.107	18.723	0.022	18.062	0.015	18.239	0.074	17.922	0.010	17.950	0.012
53483.09808	20.086	0.137	18.711	0.035	17.942	0.015	18.227	0.076	17.742	0.009	17.810	0.012
53484.12338	20.104	0.215	18.771	0.037	17.883	0.017	18.176	0.080	17.665	0.026	17.730	0.023
53489.06909	21.139	0.106	19.523	0.028	18.210	0.011	18.826	0.074	17.788	0.007	17.775	0.009
53490.07804	21.539	0.122	19.736	0.018	18.350	0.011	19.019	0.072	17.880	0.010	17.835	0.012
53491.04483	21.517	0.091	19.893	0.017	18.464	0.013	19.172	0.073	17.963	0.012	17.877	0.014
53512.03728	99.900	99.900	21.237	0.175	19.951	0.057	20.667	0.115	19.574	0.030	19.521	0.037
