# CSP Optical + NIR data for SN2006bd
# Timestamp:  2011-10-25 15:53:08
# zcmb = 0.026797	  RA = 11:38:28.56	 DEC = +20:31:34.32
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53822.24603	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.000	0.080	18.190	0.207	17.853	0.457
53828.06176	19.283	0.027	18.233	0.066	18.616	0.079	17.886	0.006	17.977	0.007	99.900	99.900	99.900	99.900	99.900	99.900
53830.17947	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.514	0.022	17.819	0.051	99.900	99.900
53831.16236	19.807	0.031	18.554	0.015	19.283	0.020	18.020	0.011	18.074	0.016	99.900	99.900	99.900	99.900	99.900	99.900
53833.17003	20.131	0.067	18.794	0.024	19.611	0.034	18.214	0.012	18.172	0.014	17.593	0.026	17.944	0.032	17.722	0.036
53834.15710	20.294	0.099	18.875	0.026	19.703	0.042	18.304	0.015	18.203	0.016	99.900	99.900	99.900	99.900	99.900	99.900
53841.13615	20.923	0.126	19.460	0.051	20.283	0.057	18.984	0.024	18.813	0.023	99.900	99.900	99.900	99.900	99.900	99.900
53845.10369	21.029	0.047	19.868	0.029	20.552	0.025	19.276	0.021	19.157	0.029	99.900	99.900	99.900	99.900	99.900	99.900
53846.12516	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.244	0.021	19.148	0.086	18.753	0.083
53866.08128	21.828	0.351	20.494	0.102	20.913	0.128	20.342	0.074	20.294	0.080	99.900	99.900	99.900	99.900	99.900	99.900
53872.06069	21.625	0.146	20.708	0.078	21.319	0.080	20.566	0.058	20.450	0.080	99.900	99.900	99.900	99.900	99.900	99.900
53891.01644	22.107	0.236	21.679	0.285	21.530	0.114	21.662	0.204	21.277	0.225	99.900	99.900	99.900	99.900	99.900	99.900
