# CSP Optical + NIR data for SN2007af
# Timestamp:  2011-10-25 15:53:06
# zcmb = 0.006290	  RA = 14:22:21.12	 DEC = -00:23:37.60
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
54162.24338	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.648	0.018	14.585	0.012	14.489	0.034	99.900	99.900
54164.30435	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	14.159	0.008	14.093	0.022	14.055	0.030	99.900	99.900
54165.26943	14.670	0.008	14.071	0.006	14.034	0.006	13.991	0.011	13.969	0.009	14.233	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54166.28117	14.432	0.009	13.889	0.006	13.856	0.005	13.826	0.007	13.800	0.005	14.049	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54167.31005	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.683	0.022	13.624	0.011	13.710	0.016	99.900	99.900
54168.32832	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.636	0.011	13.532	0.013	13.683	0.025	99.900	99.900
54169.29530	14.031	0.008	13.478	0.006	13.445	0.006	13.404	0.006	13.422	0.006	13.736	0.008	13.581	0.005	13.479	0.003	13.628	0.006	13.520	0.022
54170.29985	13.960	0.008	13.407	0.007	13.367	0.008	13.333	0.006	13.362	0.007	13.694	0.008	13.568	0.003	13.459	0.009	13.625	0.004	13.498	0.010
54171.30832	99.900	99.900	13.345	0.007	13.299	0.008	99.900	99.900	13.299	0.007	13.679	0.011	13.590	0.004	13.469	0.003	13.650	0.020	13.502	0.011
54172.30469	99.900	99.900	13.300	0.009	13.242	0.008	99.900	99.900	13.263	0.008	13.697	0.011	13.646	0.006	13.489	0.008	13.690	0.004	13.511	0.011
54174.33222	13.943	0.009	13.280	0.007	13.210	0.009	13.187	0.007	13.228	0.008	13.764	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
54175.28535	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	13.895	0.016	13.727	0.017	13.863	0.027	99.900	99.900
54178.26050	14.209	0.008	13.425	0.008	99.900	99.900	13.284	0.008	13.228	0.007	13.900	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
