"name"	"Gaia15aes"
"citations"	""
"claimedtype"	"IIP"
"discoverer"	""
"galdec"	""
"galra"	""
"host"	""
"hvel"	""
"instruments"	""
"notes"	""
"redshift"	""
"sndec"	"-16.73362"
"snra"	"173.17822"
"photometry"	"MJD"	"57146.708"	"G"	"GAIA"	"17.84"	"0.0"	"0"
"photometry"	"MJD"	"57146.782"	"G"	"GAIA"	"17.91"	"0.0"	"0"
"photometry"	"MJD"	"57158.537"	"G"	"GAIA"	"18.48"	"0.0"	"0"
"photometry"	"MJD"	"57158.713"	"G"	"GAIA"	"18.47"	"0.0"	"0"
"photometry"	"MJD"	"57158.787"	"G"	"GAIA"	"18.41"	"0.0"	"0"
