"name"	"Gaia15aaj"
"citations"	""
"claimedtype"	"Ia"
"discoverer"	""
"galdec"	""
"galra"	""
"host"	""
"hvel"	""
"instruments"	""
"notes"	""
"redshift"	""
"sndec"	"34.43214"
"snra"	"237.77419"
"photometry"	"MJD"	"57032.882"	"G"	"GAIA"	"16.72"	"0.0"	"0"
"photometry"	"MJD"	"57032.956"	"G"	"GAIA"	"16.67"	"0.0"	"0"
"photometry"	"MJD"	"57062.619"	"G"	"GAIA"	"18.10"	"0.0"	"0"
"photometry"	"MJD"	"57099.83"	"G"	"GAIA"	"19.42"	"0.0"	"0"
"photometry"	"MJD"	"57099.904"	"G"	"GAIA"	"19.42"	"0.0"	"0"
