"name"	"Gaia15afk"
"citations"	""
"claimedtype"	"Ia"
"discoverer"	""
"galdec"	""
"galra"	""
"host"	""
"hvel"	""
"instruments"	""
"notes"	""
"redshift"	""
"sndec"	"9.75961"
"snra"	"191.18975"
"photometry"	"MJD"	"57154.483"	"G"	"GAIA"	"17.60"	"0.0"	"0"
"photometry"	"MJD"	"57154.557"	"G"	"GAIA"	"17.65"	"0.0"	"0"
"photometry"	"MJD"	"57164.238"	"G"	"GAIA"	"17.63"	"0.0"	"0"
"photometry"	"MJD"	"57164.312"	"G"	"GAIA"	"17.84"	"0.0"	"0"
"photometry"	"MJD"	"57164.488"	"G"	"GAIA"	"17.83"	"0.0"	"0"
