"name"	"K0905-3"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001820.txt'>CBET 1820</a>"	"alias"	"2"
"aliases"	"K0905-3,PTF09ij"
"discoverday"	"19"
"discoverer"	"PTF"
"discovermonth"	"5"
"discoveryear"	"2009"
"maxday"	"19"
"maxmonth"	"5"
"maxyear"	"2009"
"sndec"	"+54:51:19.5"
"snra"	"14:32:14.64"
"photometry"	"timeunit"	"MJD"	"time"	"54970.5"	"abmag"	"20.3"	"source"	"2,1"
