"name"	"SN2014ag"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003834.txt'>CBET 3834</a>"	"alias"	"2"
"source"	"name"	"LLA"	"alias"	"3"
"source"	"name"	"Stan Howerton"	"alias"	"4"
"source"	"name"	"Rafael Benavides"	"alias"	"5"
"aliases"	"SN2014ag,MASTER OT J163040.68+443034.7"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"MASTER"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+443048"
"galra"	"163041"
"host"	"MCG +7-34-101"
"hvel"	"9493"
"maxday"	"10"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.031675"
"sndec"	"+44:30:34.7"
"snra"	"16:30:40.68"
"photometry"	"timeunit"	"MJD"	"time"	"56726.5"	"abmag"	"15.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56744.192"	"band"	"CV"	"abmag"	"17.1"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56745.302"	"band"	"U"	"abmag"	"17.3"	"source"	"4,1"
"photometry"	"timeunit"	"MJD"	"time"	"56755.015"	"band"	"CV"	"abmag"	"17.25"	"source"	"5,1"
