"name"	"SN2012hu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003351.txt'>CBET 3351</a>"	"alias"	"2"
"aliases"	"SN2012hu,PSN J23012936+0653381"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2012"
"galdec"	"+065338"
"galra"	"230129"
"host"	"A230129+0653"
"hvel"	"11700"
"maxday"	"16"
"maxmonth"	"12"
"maxyear"	"2012"
"redshift"	"0.039"
"sndec"	"+06:53:38.1"
"snra"	"23:01:29.36"
"photometry"	"timeunit"	"MJD"	"time"	"56277.5"	"abmag"	"17.3"	"source"	"2,1"
