"name"	"ASASSN-15ps"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8066'>ATEL 8066</a>"	"alias"	"2"
"aliases"	"ASASSN-15ps,OGLE15ik"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"9"
"discoveryear"	"2015"
"maxday"	"24"
"maxmonth"	"9"
"maxyear"	"2015"
"redshift"	"0.04"
"sndec"	"-66:13:00.10"
"snra"	"06:14:46.19"
"photometry"	"timeunit"	"MJD"	"time"	"57289.5"	"abmag"	"17.2"	"source"	"2,1"
