"name"	"PS15cjx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"source"	"name"	"Joel Nicolas"	"alias"	"3"
"aliases"	"PS15cjx,LSQ15bey"
"discoverday"	"12"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2015"
"maxday"	"12"
"maxmonth"	"10"
"maxyear"	"2015"
"sndec"	"-03:57:00.5"
"snra"	"02:13:16.72"
"photometry"	"timeunit"	"MJD"	"time"	"57307.5"	"abmag"	"19.3"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"57312.061"	"band"	"CV"	"abmag"	"19.7"	"source"	"3,1"
