"name"	"SN2003js"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"ESSENCE"
"discovermonth"	"10"
"discoveryear"	"2003"
"galdec"	"-083228"
"galra"	"022952"
"host"	"A022952-0832"
"hvel"	"97200"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2003"
"redshift"	"0.4"
"sndec"	"-083228.1"
"snra"	"022952.15"
"photometry"	"timeunit"	"MJD"	"time"	"52936.0"	"band"	"R"	"abmag"	"22.0"	"source"	"1"
