"name"	"SN2013ha"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003745.txt'>CBET 3745</a>"	"alias"	"2"
"source"	"name"	"Massimiliano Martignoni "	"alias"	"3"
"aliases"	"SN2013ha,PSN J06154985+6650194"
"claimedtype"	"IIn"
"discoverday"	"20"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"11"
"discoveryear"	"2013"
"galdec"	"+665021"
"galra"	"061549"
"host"	"MCG +11-8-25"
"hvel"	"3926"
"maxday"	"20"
"maxmonth"	"11"
"maxyear"	"2013"
"redshift"	"0.0131"
"sndec"	"+66:50:19.4"
"snra"	"06:15:49.85"
"photometry"	"timeunit"	"MJD"	"time"	"56616.5"	"abmag"	"16.8"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56628.981"	"band"	"V"	"abmag"	"17.5"	"source"	"3,1"
