"name"	"PS15bxo"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15bxo,iPTF15cpy"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"PS1"
"discovermonth"	"9"
"discoveryear"	"2015"
"maxday"	"8"
"maxmonth"	"9"
"maxyear"	"2015"
"redshift"	"0.17"
"sndec"	"-02:04:13.0"
"snra"	"00:00:52.52"
"photometry"	"timeunit"	"MJD"	"time"	"57273.5"	"abmag"	"19.7"	"source"	"2,1"
