"name"	"SN2007qw"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ic"
"discoverday"	"4"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+002856"
"galra"	"223529"
"host"	"A223529+0028"
"hvel"	"41600"
"maxday"	"16"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.15"
"sndec"	"+002856.2"
"snra"	"223529.01"
"photometry"	"timeunit"	"MJD"	"time"	"54408.0"	"band"	"g"	"abmag"	"21.2"	"source"	"1"
