"name"	"SN2011cu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002733.txt'>CBET 2733</a>"	"alias"	"2"
"aliases"	"SN2011cu,MLS110430:113511+010021"
"claimedtype"	"Ia-pec"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+010020"
"galra"	"113510"
"host"	"A113510+0100"
"hvel"	"24000"
"maxday"	"29"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.08"
"sndec"	"+01:00:20.9"
"snra"	"11:35:10.63"
"photometry"	"timeunit"	"MJD"	"time"	"55680.5"	"abmag"	"21.3"	"source"	"2,1"
