"name"	"SN2012ch"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003118.txt'>CBET 3118</a>"	"alias"	"2"
"aliases"	"SN2012ch,PSN J15060254+4125327"
"claimedtype"	"IIP"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2012"
"galdec"	"+412532"
"galra"	"150602"
"host"	"A150602+4125"
"hvel"	"2591"
"maxday"	"23"
"maxmonth"	"5"
"maxyear"	"2012"
"redshift"	"0.008637"
"sndec"	"+41:25:32.7"
"snra"	"15:06:02.54"
"photometry"	"timeunit"	"MJD"	"time"	"56070.5"	"abmag"	"15.5"	"source"	"2,1"
