"name"	"SN2009gq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001861.txt'>CBET 1861</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009gq,CSS090602:221453+173047"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2009"
"galdec"	"+173047"
"galra"	"221452"
"host"	"A221452+1730"
"hvel"	"20000"
"maxday"	"1"
"maxmonth"	"6"
"maxyear"	"2009"
"redshift"	"0.0691"
"sndec"	"+17:30:47.2"
"snra"	"22:14:52.81"
"photometry"	"timeunit"	"MJD"	"time"	"54983.5"	"abmag"	"18.3"	"source"	"2,1"
