"name"	"SN2010lq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002611.txt'>CBET 2611</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010lq,Possible supernova near ESO 495-G16"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"12"
"discoveryear"	"2010"
"galdec"	"-240232"
"galra"	"083241"
"host"	"ESO 495-G16"
"hvel"	"7883"
"maxday"	"26"
"maxmonth"	"12"
"maxyear"	"2010"
"redshift"	"0.0264"
"sndec"	"-24:02:45.6"
"snra"	"08:32:40.98"
"photometry"	"timeunit"	"MJD"	"time"	"55556.5"	"abmag"	"15.6"	"source"	"2,1"
