"name"	"SN2002jn"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"discoverday"	"9"
"discoverer"	"Boles"
"discovermonth"	"12"
"discoveryear"	"2002"
"galdec"	"+053103"
"galra"	"201200"
"host"	"UGC 11523"
"hvel"	"5429"
"maxday"	"9"
"maxmonth"	"12"
"maxyear"	"2002"
"redshift"	"0.0183"
"sndec"	"+053115.6"
"snra"	"201159.94"
"photometry"	"timeunit"	"MJD"	"time"	"52617.76"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
