"name"	"SN2014cj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003948.txt'>CBET 3948</a>"	"alias"	"2"
"aliases"	"SN2014cj,PSN J06363000-6643540"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Stu Parker"
"discovermonth"	"8"
"discoveryear"	"2014"
"galdec"	"-664411"
"galra"	"063628"
"host"	"ESO 87-G31"
"hvel"	"7047"
"maxday"	"12"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.02"
"sndec"	"-66:43:54.0"
"snra"	"06:36:30.00"
"photometry"	"timeunit"	"MJD"	"time"	"56881.5"	"abmag"	"17.0"	"source"	"2,1"
