"name"	"PS15cqg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15cqg,LSQ15bgr"
"claimedtype"	"unk"
"discoverday"	"27"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2015"
"maxday"	"27"
"maxmonth"	"10"
"maxyear"	"2015"
"sndec"	"-25:59:31.1"
"snra"	"00:49:28.68"
"photometry"	"timeunit"	"MJD"	"time"	"57322.5"	"abmag"	"19.8"	"source"	"2,1"
